UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point,cep
MG,ABRE CAMPO,CENTRO DE SAUDE DE ABRE CAMPO,RUA MONSENHOR GERALDO DA COSTA VAL,S/N,CENTRO,"RUA MONSENHOR GERALDO DA COSTA VAL, CENTRO, ABRE CAMPO, MG, BRASIL",-20.30121,-42.47778,"Rua Monsenhor Geraldo da Costa Val, 35365-000, Abre Campo","20 18m 4.356s S, 42 28m 40.008s W",35365-000
MG,ABRE CAMPO,ESF ESPLANADA,AVENIDA PRINCIPAL,81,ESPLANADA,"AVENIDA PRINCIPAL, ESPLANADA, ABRE CAMPO, MG, BRASIL",-20.30256,-42.48117,"Rua Elói Leite Praça, 35365-000, Abre Campo","20 18m 9.216s S, 42 28m 52.212s W",35365-000
MG,ABRE CAMPO,ESF POUSO ALTO,POUSO ALTO,S/N,ZONA RURAL,"POUSO ALTO, ZONA RURAL, ABRE CAMPO, MG, BRASIL",-20.29966,-42.47886,Abre Campo,"20 17m 58.776s S, 42 28m 43.896s W",
MG,ABRE CAMPO,ESF SEDE,RUA PRINCIPAL FRANCISCO NACIF,56,CENTRO,"RUA PRINCIPAL FRANCISCO NACIF, CENTRO, ABRE CAMPO, MG, BRASIL",-20.30254,-42.47981,"Avenida Francisco Nacif, 35365-000, Abre Campo","20 18m 9.144s S, 42 28m 47.316s W",35365-000
MG,ABRE CAMPO,ESF GRANADA,DISTRITO DE GRANADA,S/N,ZONA RURAL,"DISTRITO DE GRANADA, ZONA RURAL, ABRE CAMPO, MG, BRASIL",-19.85913,-43.86115,"Rua Abre Campo, 34600, Sabará","19 51m 32.868s S, 43 51m 40.14s W",34600
MG,ACAIACA,CENTRO DE SAUDE DE ACAIACA,AV EZEQUIEL MACHADO,258,CENTRO,"AV EZEQUIEL MACHADO, CENTRO, ACAIACA, MG, BRASIL",-20.36134,-43.14129,"Avenida Ezequiel Machado, Acaiaca","20 21m 40.824s S, 43 8m 28.644s W",
MG,ACAIACA,PROGRAMA DE SAUDE DA FAMILIA URBANO,AVENIDA EZEQUIEL MACHADO,259,CENTRO,"AVENIDA EZEQUIEL MACHADO, CENTRO, ACAIACA, MG, BRASIL",-20.36134,-43.14129,"Avenida Ezequiel Machado, Acaiaca","20 21m 40.824s S, 43 8m 28.644s W",
MG,ACAIACA,PROGRAMA DE SAUDE DA FAMILIA DE PALMEIRAS DE FORA,PALMEIRA DE FORA,S/N,ZONA RURAL,"PALMEIRA DE FORA, ZONA RURAL, ACAIACA, MG, BRASIL",-21.7904,-43.30124,"Parque das Palmeiras, Juiz de Fora","21 47m 25.44s S, 43 18m 4.464s W",
MG,ACUCENA,QUARTA EQUIPE SAUDE DA FAMILIA,RUA PEDRO GONCALVES DE MAGALHAES,84,CENTRO,"RUA PEDRO GONCALVES DE MAGALHAES, CENTRO, ACUCENA, MG, BRASIL",-22.89671,-47.05781,"Rua Pedro de Magalhães, 13015-027, Campinas","22 53m 48.156s S, 47 3m 28.116s W",13015-027
MG,ACUCENA,QUINTA EQUIPE ESF ACUCENA,RUA MANUEL SERAFIM,10,ZONA RURAL,"RUA MANUEL SERAFIM, ZONA RURAL, ACUCENA, MG, BRASIL",-19.62549,-41.64539,"Rua Manoel Serafim da Rocha, 36960-000, Pocrane","19 37m 31.764s S, 41 38m 43.404s W",36960-000
MG,ACUCENA,TERCEIRA EQUPE DE SAUDE DA FAMILIA,RUA PRINCIPAL POMEPU,1,ZONA RURAL,"RUA PRINCIPAL POMEPU, ZONA RURAL, ACUCENA, MG, BRASIL",-12.41631,-41.78971,"Estrada Vicinal Para Tenda Zona Rural & Rua Principal Caixa Dagua, 46900, Seabra","12 24m 58.716s S, 41 47m 22.956s W",46900
MG,ACUCENA,SEGUNDA EQUIPE DE SAUDE DA FAMILIA,RUA PRINCIPAL,1,ARAMIRIM,"RUA PRINCIPAL, ARAMIRIM, ACUCENA, MG, BRASIL",-19.79852,-43.43442,"Rua Principal, 35970-000, Barão de Cocais","19 47m 54.672s S, 43 26m 3.912s W",35970-000
MG,ACUCENA,PRIMEIRA EQUIPE PSF ACUCENA,RUA SAO FRANCISCO,0,NAQUENANUQUE,"RUA SAO FRANCISCO, NAQUENANUQUE, ACUCENA, MG, BRASIL",-19.18327,-42.42845,"Rua São Marcos, 35147-000, Açucena","19 10m 59.772s S, 42 25m 42.42s W",35147-000
MG,ACUCENA,POLICLINICA SIMAN JOSE,RUA ANTONIO ALTICIANO,20,CENTRO,"RUA ANTONIO ALTICIANO, CENTRO, ACUCENA, MG, BRASIL",-19.07467,-42.54634,"Rua Antônio Alticiano, 35147-000, Açucena","19 4m 28.812s S, 42 32m 46.824s W",35147-000
MG,AGUA BOA,PSF DE RESPLENDORAGUA BOA,RUA JURACI FERNANDES,1,RESPLENDOR,"RUA JURACI FERNANDES, RESPLENDOR, AGUA BOA, MG, BRASIL",-19.9914,-44.00688,"Rua Água Boa, 30620-360, Belo Horizonte","19 59m 29.04s S, 44 0m 24.768s W",30620-360
MG,AGUA BOA,PSF SANTO ANTONIOAGUA BOA,RUA PRINCIPAL,1,DISTRITO STO ANTONIO,"RUA PRINCIPAL, DISTRITO STO ANTONIO, AGUA BOA, MG, BRASIL",-21.0978,-45.56251,"Rua Santo Antônio, 37170-000, Boa Esperança","21 5m 52.08s S, 45 33m 45.036s W",37170-000
MG,AGUA BOA,PSF VILA DOS OPERARIOS,RUA MESTRA MARIA AUGUSTA,96,CENTRO,"RUA MESTRA MARIA AUGUSTA, CENTRO, AGUA BOA, MG, BRASIL",-17.99477,-42.39158,"Rua Maria Augusta, 39790-000, Água Boa","17 59m 41.172s S, 42 23m 29.688s W",39790-000
MG,AGUA BOA,CENTRO DE SAUDE JOSE GODINHO SOBRINHOAGUA BOA,RUA DARCI ALVES DE OLIVEIRA,144,CENTRO,"RUA DARCI ALVES DE OLIVEIRA, CENTRO, AGUA BOA, MG, BRASIL",-19.96904,-44.20558,"Rua Antônio Alves de Oliveira, 32600-334, Betim","19 58m 8.544s S, 44 12m 20.088s W",32600-334
MG,AGUA COMPRIDA,CENTRO MUNICIPAL DE SAUDE ALONSO FERREIRA DOS SANTOS,AVENIDA 29,152,CENTRO,"AVENIDA 29, CENTRO, AGUA COMPRIDA, MG, BRASIL",-20.05614,-48.10771,"Avenida Vinte e Nove, 29, 38110-000, Água Comprida","20 3m 22.104s S, 48 6m 27.756s W",38110-000
MG,AGUA COMPRIDA,UNIDADE BASICA DE SAUDE VEREADOR DOUGLAS DE PAULA,RUA 24,173,CENTRO,"RUA 24, CENTRO, AGUA COMPRIDA, MG, BRASIL",-20.05818,-48.11135,"Rua Vinte e Quatro, 24, 38110-000, Água Comprida","20 3m 29.448s S, 48 6m 40.86s W",38110-000
MG,AGUANIL,CENTRO DE SAUDE GARIBALDE NANETI,CORONEL ANTONIO INACIO,33,CENTRO,"CORONEL ANTONIO INACIO, CENTRO, AGUANIL, MG, BRASIL",-18.03384,-41.68128,"Rua Coronel Antônio Inácio, Itambacuri","18 2m 1.824s S, 41 40m 52.608s W",
MG,AGUANIL,ESF MARIA OLIVIA DE CASTRO OLIVEIRA,RUA CORONEL ANTONIO INACIO,170,CENTRO,"RUA CORONEL ANTONIO INACIO, CENTRO, AGUANIL, MG, BRASIL",-18.03384,-41.68128,"Rua Coronel Antônio Inácio, Itambacuri","18 2m 1.824s S, 41 40m 52.608s W",
MG,AGUANIL,CENTRO DE SAUDE DE AGUANIL,RUA CORONEL ANTONIO INACIO,33,CENTRO,"RUA CORONEL ANTONIO INACIO, CENTRO, AGUANIL, MG, BRASIL",-18.03384,-41.68128,"Rua Coronel Antônio Inácio, Itambacuri","18 2m 1.824s S, 41 40m 52.608s W",
MG,AGUAS FORMOSAS,ESF VITORIA,RUA PONCIANO TEIXEIRA DOS SANTOS,292,NOSSA SRA DAS GRACAS,"RUA PONCIANO TEIXEIRA DOS SANTOS, NOSSA SRA DAS GRACAS, AGUAS FORMOSAS, MG, BRASIL",-19.44666,-44.24636,"Rua Felipe dos Santos & Rua Nossa Senhora das Graças, 35700, Sete Lagoas","19 26m 47.976s S, 44 14m 46.896s W",35700
MG,AGUAS FORMOSAS,ESF HARMONIA,RUA AVELINO VILELA,186,MARIA JULIA,"RUA AVELINO VILELA, MARIA JULIA, AGUAS FORMOSAS, MG, BRASIL",-17.08772,-40.93466,"Rua Avelino Vilela, 39880-000, Águas Formosas","17 5m 15.792s S, 40 56m 4.776s W",39880-000
MG,AGUAS FORMOSAS,ESF ALEGRIA,RUA AMAZONAS,191,NENEM BAIANO,"RUA AMAZONAS, NENEM BAIANO, AGUAS FORMOSAS, MG, BRASIL",-17.98152,-40.75661,"Rua Águas Formosas, 39860, 39862, Nanuque","17 58m 53.472s S, 40 45m 23.796s W",39860
MG,AGUAS FORMOSAS,ESF PAZ,RUA SEBASTIAO LIMA,59,AGUA QUENTE,"RUA SEBASTIAO LIMA, AGUA QUENTE, AGUAS FORMOSAS, MG, BRASIL",-17.0362668,-41.0486073,"Rua Sebastião Lima, Água Quente, Águas Formosas, Região Geográfica Imediata de Águas Formosas, Região Geográfica Intermediária de Teófilo Otoni, Minas Gerais, Região Sudeste, Brasil","17 2m 10.5605s S, 41 2m 54.9863s W",
MG,AGUAS FORMOSAS,ESF UNIAO,RUA JAIME MOREIRA DE ALMEIDA,74,CENTRO,"RUA JAIME MOREIRA DE ALMEIDA, CENTRO, AGUAS FORMOSAS, MG, BRASIL",-17.08655,-40.93593,"Rua Jaime Moreira de Almeida, 39880-000, Águas Formosas","17 5m 11.58s S, 40 56m 9.348s W",39880-000
MG,AGUAS FORMOSAS,ESF ESPERANCA,RUA JOSE QUARESMA DA COSTA,S/N,COPASA,"RUA JOSE QUARESMA DA COSTA, COPASA, AGUAS FORMOSAS, MG, BRASIL",-21.48131,-46.39005,"Rua José Quaresma da Costa, Cabo Verde","21 28m 52.716s S, 46 23m 24.18s W",
MG,AGUAS FORMOSAS,PRESIDIO DE AGUAS FORMOSAS,JOSE QUARESMA DA COSTA,147,CENTRO,"JOSE QUARESMA DA COSTA, CENTRO, AGUAS FORMOSAS, MG, BRASIL",-21.48131,-46.39005,"Rua José Quaresma da Costa, Cabo Verde","21 28m 52.716s S, 46 23m 24.18s W",
MG,AGUAS FORMOSAS,ESF LUZ,RUA JOAQUIM LEANDRO,756,GAMELEIRA,"RUA JOAQUIM LEANDRO, GAMELEIRA, AGUAS FORMOSAS, MG, BRASIL",-17.08806,-40.93761,"Rua Joaquim Leandro, 39880-000, Águas Formosas","17 5m 17.016s S, 40 56m 15.396s W",39880-000
MG,AGUAS FORMOSAS,ESF VIDA,RUA MARIA AMARAL RUAS,43,BELA VISTA,"RUA MARIA AMARAL RUAS, BELA VISTA, AGUAS FORMOSAS, MG, BRASIL",-17.08456,-40.93119,"Rua Bela Vista, 39880-000, Águas Formosas","17 5m 4.416s S, 40 55m 52.284s W",39880-000
MG,AGUAS VERMELHAS,U S F MACHADO MINEIRO,RUA PARA,248,CENTRO,"RUA PARA, CENTRO, AGUAS VERMELHAS, MG, BRASIL",-15.52731,-41.49578,"Rua Pará, 39990-000, Águas Vermelhas","15 31m 38.316s S, 41 29m 44.808s W",39990-000
MG,AGUAS VERMELHAS,U B S JULIETA FERREIRA CAMPOS,RUA EUCLIDES COSTA,155,MACHADO MINEIRO,"RUA EUCLIDES COSTA, MACHADO MINEIRO, AGUAS VERMELHAS, MG, BRASIL",-15.5216298,-41.497664,"Rua Euclides Costa, Machado Mineiro, Águas Vermelhas, Região Geográfica Imediata de Pedra Azul, Região Geográfica Intermediária de Teófilo Otoni, Minas Gerais, Região Sudeste, 39990-000, Brasil","15 31m 17.8673s S, 41 29m 51.5904s W",39990-000
MG,AGUAS VERMELHAS,U S F DE CAMPO NOVO,AVENIDA AGUAS VERMELHAS,165,CAMPO NOVO,"AVENIDA AGUAS VERMELHAS, CAMPO NOVO, AGUAS VERMELHAS, MG, BRASIL",-15.74873,-41.46427,"Rua Campos Salles, 39990-000, Águas Vermelhas","15 44m 55.428s S, 41 27m 51.372s W",39990-000
MG,AGUAS VERMELHAS,U S F PROGRESSO,RUA ANFILOFIO JOSE DAS VIRGENS,S/N,NOVO PROGRESSO,"RUA ANFILOFIO JOSE DAS VIRGENS, NOVO PROGRESSO, AGUAS VERMELHAS, MG, BRASIL",-15.75042,-41.46585,"Rua José Malaquias das Chagas, 39990-000, Águas Vermelhas","15 45m 1.512s S, 41 27m 57.06s W",39990-000
MG,AGUAS VERMELHAS,U S F ITAMARATI,RUA NETERCIO DE ALMEIDA,S/N,CENTRO,"RUA NETERCIO DE ALMEIDA, CENTRO, AGUAS VERMELHAS, MG, BRASIL",-15.578,-41.41387,"Rua Hortêncio de Almeida, 39990-000, Águas Vermelhas","15 34m 40.8s S, 41 24m 49.932s W",39990-000
MG,AGUAS VERMELHAS,UNIDADE BASICA DE SAUDE DE AGUAS VERMELHAS,RUA 07 DE SETEMBRO,S/N,CENTRO,"RUA 07 DE SETEMBRO, CENTRO, AGUAS VERMELHAS, MG, BRASIL",-15.94253,-41.85963,"Rua Águas Vermelhas, 39569-000, Curral de Dentro","15 56m 33.108s S, 41 51m 34.668s W",39569-000
MG,AIMORES,PSF CONCEICAO DO CAPIM,RUA JOSE HENRIQUE FILHO,S/N,CONCEICAO DO CAPIM,"RUA JOSE HENRIQUE FILHO, CONCEICAO DO CAPIM, AIMORES, MG, BRASIL",-19.67035,-41.25239,"Rua José Henrique Filho, 35200-000, Aimorés","19 40m 13.26s S, 41 15m 8.604s W",35200-000
MG,AIMORES,PSF PENHA DO CAPIM,RUA CEL MENDES PIMENTEL,263,PENHA CO CAPIM,"RUA CEL MENDES PIMENTEL, PENHA CO CAPIM, AIMORES, MG, BRASIL",-19.6691741,-41.2512414,"Rua Coronel Mendes Pimentel, Penha do Capim, Aimorés, Região Geográfica Imediata de Aimorés - Resplendor, Região Geográfica Intermediária de Governador Valadares, Minas Gerais, Região Sudeste, Brasil","19 40m 9.02676s S, 41 15m 4.46904s W",
MG,AIMORES,PSF PARQUE DOS EUCALIPTOS,RUA DOS EUCALIPTOS,276,PARQUE DOS EUCALIPTO,"RUA DOS EUCALIPTOS, PARQUE DOS EUCALIPTO, AIMORES, MG, BRASIL",-9.5917,-35.7721,"Rua Parque dos Eucaliptos, 57061-620, Maceió","9 35m 30.12s S, 35 46m 19.56s W",57061-620
MG,AIMORES,PSF ALTO CAPIM,RUA SECUNDINO CIPRIANO,S/N,ZONA RURAL,"RUA SECUNDINO CIPRIANO, ZONA RURAL, AIMORES, MG, BRASIL",-19.49447,-41.07425,"Rua Cipriano da Silva, 35200-000, Aimorés","19 29m 40.092s S, 41 4m 27.3s W",35200-000
MG,AIMORES,PSF RUA NOVA,AVENIDA DEPUTADO ALVARES SALES,670,RUA NOVA,"AVENIDA DEPUTADO ALVARES SALES, RUA NOVA, AIMORES, MG, BRASIL",-19.49806,-41.06892,"Avenida Deputado Álvaro Sales, 35200-000, Aimorés","19 29m 53.016s S, 41 4m 8.112s W",35200-000
MG,AIMORES,PSF BETEL SANTO ANTONIO,RUA OSVALDO PAIVA,S/N,SANTO ANTONIO DO RIO,"RUA OSVALDO PAIVA, SANTO ANTONIO DO RIO, AIMORES, MG, BRASIL",-19.03681,-43.42002,"Rua Santo Antônio do Rio Abaixo, 35860-000, Conceição do Mato Dentro","19 2m 12.516s S, 43 25m 12.072s W",35860-000
MG,AIMORES,PSF BARRA DO MANHUACU,RUA III LOTES 8 9 10 E 11,S/N,BARRA DO MANHUACU,"RUA III LOTES 8 9 10 E 11, BARRA DO MANHUACU, AIMORES, MG, BRASIL",-19.49208,-41.08467,"Rua Barra do Manhuaçu, 8, 35200-000, Aimorés","19 29m 31.488s S, 41 5m 4.812s W",35200-000
MG,AIMORES,PSF IGREJINHA,RUA ANTONIO CALVAO DE MOURA,79,IGREJINHA,"RUA ANTONIO CALVAO DE MOURA, IGREJINHA, AIMORES, MG, BRASIL",-19.49571,-41.08121,"Rua Antônio Calvão Moura, 35200-000, Aimorés","19 29m 44.556s S, 41 4m 52.356s W",35200-000
MG,AIMORES,CENTRO DE SAUDE DE AIMORESSESP,AVENIDA RAUL SOARES,1182,CENTRO,"AVENIDA RAUL SOARES, CENTRO, AIMORES, MG, BRASIL",-19.4945,-41.06899,"Avenida Raul Soares, 35200, Aimorés","19 29m 40.2s S, 41 4m 8.364s W",35200
MG,AIURUOCA,POSTO DE SAUDE JOSE SANDERSON DE QUEIROZ,BAIRRO TAMANDUA,S/N,TAMANDUA,"BAIRRO TAMANDUA, TAMANDUA, AIURUOCA, MG, BRASIL",-19.45433,-44.19989,"Beco Tamanduá, 35700-808, Sete Lagoas","19 27m 15.588s S, 44 11m 59.604s W",35700-808
MG,AIURUOCA,CENTRO DE SAUDE ANNIBAL EMATNE,RUA FELIPE SENADOR,1057,CAMPO PRATICO,"RUA FELIPE SENADOR, CAMPO PRATICO, AIURUOCA, MG, BRASIL",-21.98063,-44.60751,"Rua Felipe Senador, 37450-000, Aiuruoca","21 58m 50.268s S, 44 36m 27.036s W",37450-000
MG,AIURUOCA,ESCOLA MUNICIPAL MARIA JOSE EMATNE,ALAMEDA JOSE WALDEMAR NUNES,15,CENTRO,"ALAMEDA JOSE WALDEMAR NUNES, CENTRO, AIURUOCA, MG, BRASIL",-18.98141,-41.22221,"Rua José Nunes Cintra, Goiabeira","18 58m 53.076s S, 41 13m 19.956s W",
MG,AIURUOCA,POSTO GUILHERME FERNANDES MACIEL,PINHAL,S/N,PINHAL,"PINHAL, PINHAL, AIURUOCA, MG, BRASIL",-19.80599,-43.98579,"Rua Pinhal, 31573-010, Belo Horizonte","19 48m 21.564s S, 43 59m 8.844s W",31573-010
MG,ALAGOA,PSF MADRE TEREZA DE CALCUTA,RUA OURO FALA,54,CENTRO,"RUA OURO FALA, CENTRO, ALAGOA, MG, BRASIL",-22.16929,-44.63881,"Rua Ouro Fala, 37458-000, Alagoa","22 10m 9.444s S, 44 38m 19.716s W",37458-000
MG,ALAGOA,POSTO DE SAUDE RIO ACIMA,RIO ACIMA,S/N,ZONA RURAL,"RIO ACIMA, ZONA RURAL, ALAGOA, MG, BRASIL",-20.08552,-43.78977,Rio Acima,"20 5m 7.872s S, 43 47m 23.172s W",
MG,ALBERTINA,UBS DE ALBERTINA,PRACA EPAMINONDAS BRUN,1,JARDIM DOS IPES,"PRACA EPAMINONDAS BRUN, JARDIM DOS IPES, ALBERTINA, MG, BRASIL",-19.55861,-42.63711,"Praça dos Ipês, 35182-496, Timóteo","19 33m 30.996s S, 42 38m 13.596s W",35182-496
MG,ALEM PARAIBA,MODULO DE PSF GOIABAL,RUA MADRE MARIA DAS NEVES,623,MORRO GOIABAL,"RUA MADRE MARIA DAS NEVES, MORRO GOIABAL, ALEM PARAIBA, MG, BRASIL",-21.86447,-42.67028,"Rua Madre Maria das Neves, 36660-000, Além Paraíba","21 51m 52.092s S, 42 40m 13.008s W",36660-000
MG,ALEM PARAIBA,PSF JAQUEIRA,AVENIDA EUVALDO LODI,947,JAQUEIRA,"AVENIDA EUVALDO LODI, JAQUEIRA, ALEM PARAIBA, MG, BRASIL",-21.89392,-42.72017,"Avenida Deputado Euvaldo Lodi, 36660-000, Além Paraíba","21 53m 38.112s S, 42 43m 12.612s W",36660-000
MG,ALEM PARAIBA,UNIDADE BASICA DE SAUDE SAO JOSE,PCA JOAQUIM DIAS MOREIRA,S/N,ILHA GAMA CERQUEIRA,"PCA JOAQUIM DIAS MOREIRA, ILHA GAMA CERQUEIRA, ALEM PARAIBA, MG, BRASIL",-21.87395,-42.6719,"Praça Joaquim Dias Moreira, 36660-000, Além Paraíba","21 52m 26.22s S, 42 40m 18.84s W",36660-000
MG,ALEM PARAIBA,PSF CAXIAS,RUA JOSE FRANCISO DOS SANTOS,S/N,VILA CAXIAS,"RUA JOSE FRANCISO DOS SANTOS, VILA CAXIAS, ALEM PARAIBA, MG, BRASIL",-21.87133,-42.69937,"Rua José Francisco dos Santos, 36660-000, Além Paraíba","21 52m 16.788s S, 42 41m 57.732s W",36660-000
MG,ALEM PARAIBA,MODULO PSF ANGUSTURA,PRACA MIGUEL MADEIRA,S/N,ANGUSTURA,"PRACA MIGUEL MADEIRA, ANGUSTURA, ALEM PARAIBA, MG, BRASIL",-21.7476549,-42.67659520000001,"Praça Miguel Madeira, Campestre, Angustura, Além Paraíba, Região Geográfica Imediata de Além Paraíba, Região Geográfica Intermediária de Juiz de Fora, Minas Gerais, Região Sudeste, Brasil","21 44m 51.5576s S, 42 40m 35.7427s W",
MG,ALEM PARAIBA,CENTRO DE APOIO TERRA DO SANTO,RUA SETE,S/N,TERRA DO SANTO,"RUA SETE, TERRA DO SANTO, ALEM PARAIBA, MG, BRASIL",-21.8596535,-42.6756462,"Rua Sete, Vila Terra do Santo, Além Paraíba, Região Geográfica Imediata de Além Paraíba, Região Geográfica Intermediária de Juiz de Fora, Minas Gerais, Região Sudeste, Brasil","21 51m 34.7526s S, 42 40m 32.3263s W",
MG,ALEM PARAIBA,PSF PARADA BREVES,RUA TENENTE JOAO BONFANTE,S/N,PARADA BREVES,"RUA TENENTE JOAO BONFANTE, PARADA BREVES, ALEM PARAIBA, MG, BRASIL",-21.87012,-42.66308,"Rua Tenente João Bonfante, 36660-000, Além Paraíba","21 52m 12.432s S, 42 39m 47.088s W",36660-000
MG,ALEM PARAIBA,UNIDADE BASICA DE SAUDE ALICE FERNANDES,RUA NOVO HORIZONTE,985,MORRO DA CONCEICAO,"RUA NOVO HORIZONTE, MORRO DA CONCEICAO, ALEM PARAIBA, MG, BRASIL",-21.88187,-42.70208,"Rua Novo Horizonte, 36660-000, Além Paraíba","21 52m 54.732s S, 42 42m 7.488s W",36660-000
MG,ALEM PARAIBA,POSTO DE SAUDE FERNANDO LOBO,RUA FERNANDO LOBO,S/N,ZONA RURAL,"RUA FERNANDO LOBO, ZONA RURAL, ALEM PARAIBA, MG, BRASIL",-21.87608,-42.68134,"Rua Fernando Esquerdo Magalhães, 36660-000, Além Paraíba","21 52m 33.888s S, 42 40m 52.824s W",36660-000
MG,ALEM PARAIBA,POSTO DE SAUDE BEIRA RIO,BEIRA RIO,S/N,ZONA RURAL,"BEIRA RIO, ZONA RURAL, ALEM PARAIBA, MG, BRASIL",-21.84143,-42.61129,"Rua Beira Linha, 36660-000, Além Paraíba","21 50m 29.148s S, 42 36m 40.644s W",36660-000
MG,ALEM PARAIBA,POSTO DE SAUDE MARINOPOLIS,RUA EDSON CORTES MARINHO,S/N,ZONA RURAL,"RUA EDSON CORTES MARINHO, ZONA RURAL, ALEM PARAIBA, MG, BRASIL",-21.76302,-42.73663,"Rua Edson Cortês Marinho, 36660-000, Além Paraíba","21 45m 46.872s S, 42 44m 11.868s W",36660-000
MG,ALEM PARAIBA,UNIDADE BASICA AFONSO DIAS,RUA MANOEL VICENTE FERREIRA,S/N,BOIADEIRO,"RUA MANOEL VICENTE FERREIRA, BOIADEIRO, ALEM PARAIBA, MG, BRASIL",-21.88812,-42.70851,"Rua Manoel Vicente Ferreira, 36660-000, Além Paraíba","21 53m 17.232s S, 42 42m 30.636s W",36660-000
MG,ALEM PARAIBA,POSTO DE SAUDE SITIO BRANCO,AV ROBERTO ZAMBONI,S/N,SITIO BRANCO,"AV ROBERTO ZAMBONI, SITIO BRANCO, ALEM PARAIBA, MG, BRASIL",-21.8981866,-42.72575629999999,"Avenida Roberto Zamboni, Sítio Branco, Além Paraíba, Região Geográfica Imediata de Além Paraíba, Região Geográfica Intermediária de Juiz de Fora, Minas Gerais, Região Sudeste, Brasil","21 53m 53.4718s S, 42 43m 32.7227s W",
