UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point,cep
PB,ALAGOA GRANDE,UBSF XI CENTRO,RUA MARIANO RODRIGUES,S/N,CENTRO,"RUA MARIANO RODRIGUES, CENTRO, ALAGOA GRANDE, PB, BRASIL",-7.03778,-35.62691,"Rua Mariano Rodrigues, Alagoa Grande","7 2m 16.008s S, 35 37m 36.876s W",
PB,ALAGOA GRANDE,UBSF I DR CLOVIS BARACUY,RUA OLINDA,538,CENTRO,"RUA OLINDA, CENTRO, ALAGOA GRANDE, PB, BRASIL",-7.04368,-35.63545,"Rua Olinda, 58388-000, Alagoa Grande","7 2m 37.248s S, 35 38m 7.62s W",58388-000
PB,ALAGOA GRANDE,UBSF IX CAIANA DOS CRIOLOS,ST CAIANA DOS COCAIS,S/N,CAIANA DOS COCAIS,"ST CAIANA DOS COCAIS, CAIANA DOS COCAIS, ALAGOA GRANDE, PB, BRASIL",-23.70481,-46.50895,"Rua dos Cocais, Santo André","23 42m 17.316s S, 46 30m 32.22s W",
PB,ALAGOA GRANDE,UBSF IV ZUMBI,RUA SAO JOSE,236,ZUMBI,"RUA SAO JOSE, ZUMBI, ALAGOA GRANDE, PB, BRASIL",-7.10124,-35.63566,"Rua São José, 58388-000, Alagoa Grande","7 6m 4.464s S, 35 38m 8.376s W",58388-000
PB,ALAGOA GRANDE,UBSF V CANAFISTULA,RUA MANOEL JOAQUIM DE CARVALHO,S/N,CENTRO,"RUA MANOEL JOAQUIM DE CARVALHO, CENTRO, ALAGOA GRANDE, PB, BRASIL",-6.99019,-35.56105,"Rua Manoel de Carvalho, 58388-000, Alagoa Grande","6 59m 24.684s S, 35 33m 39.78s W",58388-000
PB,ALAGOA GRANDE,UBSF VIII MARIA CRISTINA MEDEIROS SARMENTO,RUA DOM PEDRO II,S/N,CENTRO,"RUA DOM PEDRO II, CENTRO, ALAGOA GRANDE, PB, BRASIL",-7.03673,-35.63138,"Rua Dom Pedro II, 58388-000, Alagoa Grande","7 2m 12.228s S, 35 37m 52.968s W",58388-000
PB,ALAGOA GRANDE,UBSF VI VILA SAO JOAO,VILA SAO JOAO,2847,ZONA RURAL,"VILA SAO JOAO, ZONA RURAL, ALAGOA GRANDE, PB, BRASIL",-7.04969,-35.6415,"Via São João, 58388-000, Alagoa Grande","7 2m 58.884s S, 35 38m 29.4s W",58388-000
PB,ALAGOA NOVA,UBSF ANTONIO CLEMENTINO DA SILVA,SITIO QUEIRA DEUS,S/N,ZONA RURAL,"SITIO QUEIRA DEUS, ZONA RURAL, ALAGOA NOVA, PB, BRASIL",,,,,
PB,ALAGOA NOVA,UBSF JOSEFA DELFINO DA CONCEICAO,POVOADO SAO TOME,S/N,ZONA RURAL,"POVOADO SAO TOME, ZONA RURAL, ALAGOA NOVA, PB, BRASIL",-7.06055,-35.75142,"Rua São Sebastião, 58125-000, Alagoa Nova","7 3m 37.98s S, 35 45m 5.112s W",58125-000
PB,ALAGOA NOVA,POSTO DE SAUDE ANCORA DE BOA VISTA,SITIO BOA VISTA,S/N,ZONA RURAL,"SITIO BOA VISTA, ZONA RURAL, ALAGOA NOVA, PB, BRASIL",-7.81109,-34.92405,"Rua Nova Boa Vista Loteamento Maringá & Rua Professor Bruno Maia, 53650, Igarassu","7 48m 39.924s S, 34 55m 26.58s W",53650
PB,ALAGOA NOVA,UBSF ANITA FELICIANO DA COSTA,SITIO URUCU,S/N,ZONA RURAL,"SITIO URUCU, ZONA RURAL, ALAGOA NOVA, PB, BRASIL",-7.06081,-35.76351,Alagoa Nova,"7 3m 38.916s S, 35 45m 48.636s W",
PB,ALAGOA NOVA,UNIDADE MISTA DE ALAGOA NOVA,RUA MANOEL PAULINO,0,CENTRO,"RUA MANOEL PAULINO, CENTRO, ALAGOA NOVA, PB, BRASIL",-7.06335,-35.76299,"Rua Manoel Tavares, 58125-000, Alagoa Nova","7 3m 48.06s S, 35 45m 46.764s W",58125-000
PB,ALAGOA NOVA,UBSF JOSE NERI,RUA JOAO PESSOA,S/N,CENTRO,"RUA JOAO PESSOA, CENTRO, ALAGOA NOVA, PB, BRASIL",-7.06053,-35.76173,"Rua João Pessoa, 58125-000, Alagoa Nova","7 3m 37.908s S, 35 45m 42.228s W",58125-000
PB,ALAGOA NOVA,POSTO DE SAUDE ANCORA GAMELEIRA,SITIO GAMELEIRA,S/N,ZONA RURAL,"SITIO GAMELEIRA, ZONA RURAL, ALAGOA NOVA, PB, BRASIL",-7.06081,-35.76351,Alagoa Nova,"7 3m 38.916s S, 35 45m 48.636s W",
PB,ALAGOA NOVA,UBSF ADALGISA DE OLIVEIRA CAVALCANTI,AVENIDA SAO SEBASTIAO,S/N,CENTRO,"AVENIDA SAO SEBASTIAO, CENTRO, ALAGOA NOVA, PB, BRASIL",-7.06055,-35.75142,"Rua São Sebastião, 58125-000, Alagoa Nova","7 3m 37.98s S, 35 45m 5.112s W",58125-000
PB,ALAGOA NOVA,UBSF MANOEL ELISEU,RUA JOSE SALDANHA,S/N,CENTRO,"RUA JOSE SALDANHA, CENTRO, ALAGOA NOVA, PB, BRASIL",-7.06151,-35.76233,"Rua José Saldanha, 58125-000, Alagoa Nova","7 3m 41.436s S, 35 45m 44.388s W",58125-000
PB,ALAGOA NOVA,UBSF JOAO MORAES,SITIO BACUPARI,S/N,ZONA RURAL,"SITIO BACUPARI, ZONA RURAL, ALAGOA NOVA, PB, BRASIL",-7.06081,-35.76351,Alagoa Nova,"7 3m 38.916s S, 35 45m 48.636s W",
PB,ALAGOA NOVA,UBSF DR NELUSKO TORRES BANDEIRA,RUA APOLONIO BORGES SALES,S/N,CENTRO,"RUA APOLONIO BORGES SALES, CENTRO, ALAGOA NOVA, PB, BRASIL",-7.06005,-35.76357,"Rua Vereador Apolônio Borges, 58125-000, Alagoa Nova","7 3m 36.18s S, 35 45m 48.852s W",58125-000
PB,ALAGOINHA,UNIDADE DO PSF VI,RUA IRENE MARTINS,S/N,CENTR0,"RUA IRENE MARTINS, CENTR0, ALAGOINHA, PB, BRASIL",-6.94795,-35.54511,"Rua Irene Martins, 58390-000, Alagoinha","6 56m 52.62s S, 35 32m 42.396s W",58390-000
PB,ALAGOINHA,UNIDADE DO PSF I,RUA JAIME ELOI CAVALCANTE,56,CENTRO,"RUA JAIME ELOI CAVALCANTE, CENTRO, ALAGOINHA, PB, BRASIL",-6.98625,-36.24072,"Rua Jaime Cavalcante da Silva, 58160-000, Olivedos","6 59m 10.5s S, 36 14m 26.592s W",58160-000
PB,ALAGOINHA,UNIDADE DO PSF II,RUA IRENE MARTINS,S/N,CENTRO,"RUA IRENE MARTINS, CENTRO, ALAGOINHA, PB, BRASIL",-6.94795,-35.54511,"Rua Irene Martins, 58390-000, Alagoinha","6 56m 52.62s S, 35 32m 42.396s W",58390-000
PB,ALAGOINHA,POSTO NOTURNO,RUA IRENE MARTINS,1,CENTRO,"RUA IRENE MARTINS, CENTRO, ALAGOINHA, PB, BRASIL",-6.94795,-35.54511,"Rua Irene Martins, 58390-000, Alagoinha","6 56m 52.62s S, 35 32m 42.396s W",58390-000
PB,ALAGOINHA,UNIDADE DO PSF VII,RUA JOAO JOSE DO NASCIMENTO,S/N,CONJUNTO CLOCIO BELT,"RUA JOAO JOSE DO NASCIMENTO, CONJUNTO CLOCIO BELT, ALAGOINHA, PB, BRASIL",-6.9539,-35.54094,"Rua João José do Nascimento, 58390-000, Alagoinha","6 57m 14.04s S, 35 32m 27.384s W",58390-000
PB,ALAGOINHA,UNIDADE DO PSF IV,RUA DO SOL,86,CENTRO,"RUA DO SOL, CENTRO, ALAGOINHA, PB, BRASIL",-2.45804,-46.03895,"Rua do Sol, 65288-000, Centro do Guilherme","2 27m 28.944s S, 46 2m 20.22s W",65288-000
PB,ALAGOINHA,UNIDADE DO PSF III,SITIO JACARE,S/N,ZONA RURAL,"SITIO JACARE, ZONA RURAL, ALAGOINHA, PB, BRASIL",-6.97208,-35.80874,"Estrada Sítio Jacaré, 58398-000, Remígio","6 58m 19.488s S, 35 48m 31.464s W",58398-000
PB,ALAGOINHA,UNIDADE DO PSF V,RUA SIMAO TADEU,S/N,CENTRO,"RUA SIMAO TADEU, CENTRO, ALAGOINHA, PB, BRASIL",-7.12145,-34.97619,"Rua Simão Leal, 58300, 58919, Santa Rita","7 7m 17.22s S, 34 58m 34.284s W",58300
PB,ALCANTIL,UNIDADE DE SAUDE DA FAMILIA JUCA PSF II,SITIO JUCA,S/N,ZONA RURAL,"SITIO JUCA, ZONA RURAL, ALCANTIL, PB, BRASIL",-6.60541,-35.62396,"Estrada para Sítio Raimundo, 58228-000, Dona Inês","6 36m 19.476s S, 35 37m 26.256s W",58228-000
PB,ALCANTIL,UNIDADE BASICA DE SAUDE DA FAMILIA DE ALCANTIL PSF I,RUA PROJETADA,S/N,CENTRO,"RUA PROJETADA, CENTRO, ALCANTIL, PB, BRASIL",-7.13013,-34.91857,"Rua Projetada, 58306-110, Bayeux","7 7m 48.468s S, 34 55m 6.852s W",58306-110
PB,ALCANTIL,UBSF DE BARRA DE AROEIRAS,SITIO BARRA DE AROEIRAS,S/N,ZONA RURAL,"SITIO BARRA DE AROEIRAS, ZONA RURAL, ALCANTIL, PB, BRASIL",-6.4029,-38.49643,"Rua Elisvaldo Carvalho de Almeida Sítio Barra do Piaba, 58933-000, Poço Dantas","6 24m 10.44s S, 38 29m 47.148s W",58933-000
PB,ALCANTIL,SERVICO DE ATENCAO DOMICILIAR SAD,AVENIDA SAO JOSE,664,CENTRO,"AVENIDA SAO JOSE, CENTRO, ALCANTIL, PB, BRASIL",-7.02971,-37.28213,"Rua São José, 58700-015, Patos","7 1m 46.956s S, 37 16m 55.668s W",58700-015
PB,ALGODAO DE JANDAIRA,UNIDADE BASICA DE SAUDE II,CONJUNTO NOVO,10,CENTRO,"CONJUNTO NOVO, CENTRO, ALGODAO DE JANDAIRA, PB, BRASIL",-6.90491,-36.00496,Algodão de Jandaíra,"6 54m 17.676s S, 36 0m 17.856s W",
PB,ALGODAO DE JANDAIRA,POSTO DE SAUDE DA SERRA,SITIO SERRA DO ALGODAO,S/N,ZONA RURAL,"SITIO SERRA DO ALGODAO, ZONA RURAL, ALGODAO DE JANDAIRA, PB, BRASIL",-6.90491,-36.00496,Algodão de Jandaíra,"6 54m 17.676s S, 36 0m 17.856s W",
PB,ALGODAO DE JANDAIRA,UNIDADE BASICA DE SAUDE DA FAMILIA,RUA CONEGO RODRIGUES FIDELIS,198,CENTRO,"RUA CONEGO RODRIGUES FIDELIS, CENTRO, ALGODAO DE JANDAIRA, PB, BRASIL",-6.90515,-36.00886,"Rua Cônego José Rodrigues Fidelis, 58399-000, Algodão de Jandaíra","6 54m 18.54s S, 36 0m 31.896s W",58399-000
PB,ALHANDRA,UNIDADE DE SAUDE DA FAMILIA SALGADINHO,RUA FLOSCULOS GUIMARAES,29,OITEIRO,"RUA FLOSCULOS GUIMARAES, OITEIRO, ALHANDRA, PB, BRASIL",-7.44066,-34.9136,"Rua Flosculo Guimarães, 58320-000, Alhandra","7 26m 26.376s S, 34 54m 48.96s W",58320-000
PB,ALHANDRA,UNIDADE DE SAUDE DA FAMILIA MATA REDONDA II,RUA PROJETADA,S/N,ZONA RURAL,"RUA PROJETADA, ZONA RURAL, ALHANDRA, PB, BRASIL",-7.4328,-34.91407,"Rua Projetada 03, Alhandra","7 25m 58.08s S, 34 54m 50.652s W",
PB,ALHANDRA,UNIDADE DE SAUDE DA FAMILIA OITEIRO II,RUA DO OITEIRO,S/N,OITEIRO,"RUA DO OITEIRO, OITEIRO, ALHANDRA, PB, BRASIL",-7.43758,-34.90747,"Rua do Oiteiro, 58320-000, Alhandra","7 26m 15.288s S, 34 54m 26.892s W",58320-000
PB,ALHANDRA,POSTO ANCORA DE VIEIRA,SITIO VIEIRA,S/N,ZONA RURAL,"SITIO VIEIRA, ZONA RURAL, ALHANDRA, PB, BRASIL",-7.43551,-34.91832,"Estrada para Sítio Moura, 58320-000, Alhandra","7 26m 7.836s S, 34 55m 5.952s W",58320-000
PB,ALHANDRA,UNIDADE DE SAUDE DA FAMILIA DO ACAIS,RODOVIA PB 034,S/N,ZONA RURAL,"RODOVIA PB 034, ZONA RURAL, ALHANDRA, PB, BRASIL",-7.41147,-34.91132,"Rua Presidente João Pessoa, 58320, Alhandra","7 24m 41.292s S, 34 54m 40.752s W",58320
PB,ALHANDRA,UNIDADE DE SAUDE DA FAMILIA NOVA ALHANDRA,RUA PROJETADA,S/N,NOVA ALHANDRA,"RUA PROJETADA, NOVA ALHANDRA, ALHANDRA, PB, BRASIL",-7.4328,-34.91407,"Rua Projetada 03, Alhandra","7 25m 58.08s S, 34 54m 50.652s W",
PB,ALHANDRA,UNIDADE DE SAUDE DA FAMILIA CENTRO II,RUA CARLOS RIBEIRO FILHO,S/N,CENTRO,"RUA CARLOS RIBEIRO FILHO, CENTRO, ALHANDRA, PB, BRASIL",-7.4314,-34.9127,"Rua Carlos Ribeiro Filho, 58320-000, Alhandra","7 25m 53.04s S, 34 54m 45.72s W",58320-000
PB,ALHANDRA,UNIDADE DE SAUDE DA FAMILIA MATA REDONDA I,RUA IVONETE DE SOUZA DE LIRA,S/N,ZONA RURAL,"RUA IVONETE DE SOUZA DE LIRA, ZONA RURAL, ALHANDRA, PB, BRASIL",-6.88187,-38.56575,"Rua Hortelina de Souza Lira, 58900-000, Cajazeiras","6 52m 54.732s S, 38 33m 56.7s W",58900-000
PB,ALHANDRA,CENTRO DE SAUDE DE ALHANDRA,AV PRESIDENTE JOAO PESSOA,S/N,CENTRO,"AV PRESIDENTE JOAO PESSOA, CENTRO, ALHANDRA, PB, BRASIL",-7.41147,-34.91132,"Rua Presidente João Pessoa, 58320, Alhandra","7 24m 41.292s S, 34 54m 40.752s W",58320
PB,AMPARO,UNIDADE BASICA DE SAUDE FAMILIA DA FAMILIA SAO SEBASTIAO,RUA VEREADOR CICERO SOARES,S/N,CENTRO,"RUA VEREADOR CICERO SOARES, CENTRO, AMPARO, PB, BRASIL",-7.56852,-37.06277,"Rua Vereador Cícero Soares, 58548-000, Amparo","7 34m 6.672s S, 37 3m 45.972s W",58548-000
PB,AMPARO,UNIDADE ANCORA BASICA DE SAUDE RAIMUNDO ENEAS DA COSTA,SITIO PELELE,S/N,ZONA RURAL,"SITIO PELELE, ZONA RURAL, AMPARO, PB, BRASIL",-6.60541,-35.62396,"Estrada para Sítio Raimundo, 58228-000, Dona Inês","6 36m 19.476s S, 35 37m 26.256s W",58228-000
PB,AMPARO,UNIDADE ANCORA BASICA DE SAUDE FORMOZINO FRANCISCO DE ARAUJO,SITIO POCO DO BOI,S/N,ZONA RURAL,"SITIO POCO DO BOI, ZONA RURAL, AMPARO, PB, BRASIL",-6.4029,-38.49643,"Rua Elisvaldo Carvalho de Almeida Sítio Barra do Piaba, 58933-000, Poço Dantas","6 24m 10.44s S, 38 29m 47.148s W",58933-000
PB,APARECIDA,POSTO DE SAUDE DE APARECIDA,RUA FRANCISCO BATISTA,21,CENTRO,"RUA FRANCISCO BATISTA, CENTRO, APARECIDA, PB, BRASIL",-6.78681,-38.07926,"Rua Francisco Batista, Aparecida","6 47m 12.516s S, 38 4m 45.336s W",
PB,APARECIDA,PSF IV DE APARECIDA,RUA FRANCISCO BATISTA,21,CENTRO,"RUA FRANCISCO BATISTA, CENTRO, APARECIDA, PB, BRASIL",-6.78681,-38.07926,"Rua Francisco Batista, Aparecida","6 47m 12.516s S, 38 4m 45.336s W",
PB,APARECIDA,PSF I DE APARECIDA,RUA FRANCISCO BATISTA,21,CENTRO,"RUA FRANCISCO BATISTA, CENTRO, APARECIDA, PB, BRASIL",-6.78681,-38.07926,"Rua Francisco Batista, Aparecida","6 47m 12.516s S, 38 4m 45.336s W",
PB,APARECIDA,PSF II DE APARECIDA,ASSENTAMENTO ACAUA,S/N,ZONA RURAL,"ASSENTAMENTO ACAUA, ZONA RURAL, APARECIDA, PB, BRASIL",,,,,
PB,APARECIDA,PSF III DE APARECIDA,DISTRITO DE PRENSA,S/N,DISTRITO,"DISTRITO DE PRENSA, DISTRITO, APARECIDA, PB, BRASIL",-9.12609,-36.4722,"Estrada para Bom Conselho & Estrada para Distrito de Igapo, 55320, Lagoa do Ouro","9 7m 33.924s S, 36 28m 19.92s W",55320
PB,ARACAGI,UBS PSF III CANAFISTINHA,SITIO CANAFISTINHA,S/N,ZONA RURAL,"SITIO CANAFISTINHA, ZONA RURAL, ARACAGI, PB, BRASIL",-6.60541,-35.62396,"Estrada para Sítio Raimundo, 58228-000, Dona Inês","6 36m 19.476s S, 35 37m 26.256s W",58228-000
PB,ARACAGI,UBS PSF II CENTRO,PRACA JOSE LUIZ DE ARAUJO,S/N,CENTRO,"PRACA JOSE LUIZ DE ARAUJO, CENTRO, ARACAGI, PB, BRASIL",-6.85139,-35.38172,"Praça José Luiz de Araújo, 58270-000, Araçagi","6 51m 5.004s S, 35 22m 54.192s W",58270-000
PB,ARACAGI,UBS PSF VI TAINHA,SITIO TAINHA,S/N,ZONA RURAL,"SITIO TAINHA, ZONA RURAL, ARACAGI, PB, BRASIL",-6.84578,-35.35954,"Tainha, Araçagi","6 50m 44.808s S, 35 21m 34.344s W",
PB,ARACAGI,UBS PSF IV CANAFISTULA,SITIO CANAFISTULA,S/N,ZONA RURAL,"SITIO CANAFISTULA, ZONA RURAL, ARACAGI, PB, BRASIL",-6.60541,-35.62396,"Estrada para Sítio Raimundo, 58228-000, Dona Inês","6 36m 19.476s S, 35 37m 26.256s W",58228-000
PB,ARACAGI,UBS PSF VII MULUNGUZINHO,SITIO MULUGUZINHO,1,ZONA RURAL,"SITIO MULUGUZINHO, ZONA RURAL, ARACAGI, PB, BRASIL",-6.93775,-35.29159,"Mulunguzinho, Araçagi","6 56m 15.9s S, 35 17m 29.724s W",
PB,ARACAGI,UNIDADE ANCORA PSF MARIA PRETA,GENIPAPO TAUMATA,1,Z RURAL,"GENIPAPO TAUMATA, Z RURAL, ARACAGI, PB, BRASIL",,,,,
PB,ARACAGI,UBS PSF VIII ASSENT MARIA PRETA,SITIO VIOLETA,S/N,ZONA RURAL,"SITIO VIOLETA, ZONA RURAL, ARACAGI, PB, BRASIL",-6.60541,-35.62396,"Estrada para Sítio Raimundo, 58228-000, Dona Inês","6 36m 19.476s S, 35 37m 26.256s W",58228-000
PB,ARACAGI,UBS PSF I SANTO AMARO,NOSSO SENHORA DO ROSARIO,S/N,CENTRO,"NOSSO SENHORA DO ROSARIO, CENTRO, ARACAGI, PB, BRASIL",-6.84992,-35.38362,"Rua Nossa Senhora do Rosário, 58270-000, Araçagi","6 50m 59.712s S, 35 23m 1.032s W",58270-000
PB,ARACAGI,UNID ANCORA PSF VI SANTA LUCIA,FAZENDA SANTA LUCIA,S/N,ZONA RURAL,"FAZENDA SANTA LUCIA, ZONA RURAL, ARACAGI, PB, BRASIL",-22.72992,-47.26148,"Fazenda Santa Lúcia, Americana","22 43m 47.712s S, 47 15m 41.328s W",
PB,ARACAGI,UBS PSF V PITOMBAS,SITIO PITOMBAS,S/N,ZONA RURAL,"SITIO PITOMBAS, ZONA RURAL, ARACAGI, PB, BRASIL",-6.60541,-35.62396,"Estrada para Sítio Raimundo, 58228-000, Dona Inês","6 36m 19.476s S, 35 37m 26.256s W",58228-000
PB,ARACAGI,UBS IX,AV OLIVIO MAROJA,278,BELA VISTA,"AV OLIVIO MAROJA, BELA VISTA, ARACAGI, PB, BRASIL",-6.85118,-35.38092,"Avenida Olívio Maroja, 58270-000, Araçagi","6 51m 4.248s S, 35 22m 51.312s W",58270-000
PB,ARARA,CENTRO DE SAUDE DE ARARA,RUA SENADOR RUI CARNEIRO,S/N,CENTRO,"RUA SENADOR RUI CARNEIRO, CENTRO, ARARA, PB, BRASIL",-7.01863,-34.83916,"Rua Senador Rui Carneiro, 58105-081, Cabedelo","7 1m 7.068s S, 34 50m 20.976s W",58105-081
PB,ARARA,UNIDADE DE SAUDE DA FAMILIA IV,SITIO JABOTICABA,S/N,ZONA RURAL,"SITIO JABOTICABA, ZONA RURAL, ARARA, PB, BRASIL",-6.60541,-35.62396,"Estrada para Sítio Raimundo, 58228-000, Dona Inês","6 36m 19.476s S, 35 37m 26.256s W",58228-000
PB,ARARA,UNIDADE DE SAUDE DA FAMILIA V,RUA MANOEL CANDIDO DO NASCIMENTO,0,CENTRO,"RUA MANOEL CANDIDO DO NASCIMENTO, CENTRO, ARARA, PB, BRASIL",-7.14598,-34.84393,"Rua Manoel Firmino do Nascimento, João Pessoa","7 8m 45.528s S, 34 50m 38.148s W",
PB,ARARA,UNIDADE DE SAUDE DA FAMILIA III,SITIO RIACHO FUNDO,S/N,ZONA RURAL,"SITIO RIACHO FUNDO, ZONA RURAL, ARARA, PB, BRASIL",-7.24833,-35.65501,"Rua do Sítio Bacamarte, 58380-000, Riachão do Bacamarte","7 14m 53.988s S, 35 39m 18.036s W",58380-000
PB,ARARA,UNIDADE DE SAUDE DA FAMILIA II,RUA SENADOR RUI CARNEIRO,S/N,CENTRO,"RUA SENADOR RUI CARNEIRO, CENTRO, ARARA, PB, BRASIL",-7.01863,-34.83916,"Rua Senador Rui Carneiro, 58105-081, Cabedelo","7 1m 7.068s S, 34 50m 20.976s W",58105-081
PB,ARARA,UNIDADE DE SAUDE DA FAMILIA I,RUA CONEGO TEODOMIRO DE QUEIROZ,46,CENTRO,"RUA CONEGO TEODOMIRO DE QUEIROZ, CENTRO, ARARA, PB, BRASIL",-7.06053,-35.31581,"Rua Cônego Teodomiro de Queiroz, 58345-000, Mari","7 3m 37.908s S, 35 18m 56.916s W",58345-000
PB,ARARA,UNIDADE DE SAUDE DA FAMILIA VI,RUA JOSE FELIX DA COSTA,0,CENTRO,"RUA JOSE FELIX DA COSTA, CENTRO, ARARA, PB, BRASIL",-6.6432,-35.79618,"Rua José Casado da Costa, 58230-000, Cacimba de Dentro","6 38m 35.52s S, 35 47m 46.248s W",58230-000
PB,ARARUNA,UNIDADE BASICA DE SAUDE DE FAZENDA NOVA,SITIO FAZENDA NOVA,S/N,ZONA RURAL,"SITIO FAZENDA NOVA, ZONA RURAL, ARARUNA, PB, BRASIL",-7.08614,-37.44376,"Saída para Fazenda Nova, 58720-000, Santa Teresinha","7 5m 10.104s S, 37 26m 37.536s W",58720-000
PB,ARARUNA,UNIDADE BASICA DE SAUDE DE ANAFE,SITIO ANAFE,14,SITIO,"SITIO ANAFE, SITIO, ARARUNA, PB, BRASIL",-6.4029,-38.49643,"Rua Elisvaldo Carvalho de Almeida Sítio Barra do Piaba, 58933-000, Poço Dantas","6 24m 10.44s S, 38 29m 47.148s W",58933-000
