UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point,cep
PR,ALTONIA,POSTO DE SAUDE JARDIM PAREDAO,RUA CURITIBA,85,JARDIM PAREDAO,"RUA CURITIBA, JARDIM PAREDAO, ALTONIA, PR, BRASIL",-23.95151,-53.94798,"Avenida Curitiba, 87550, 87552, Altônia","23 57m 5.436s S, 53 56m 52.728s W",87550
PR,ALTONIA,POSTO DE SAUDE JARDIM SOCIAL,RUA MARECHAL DEODORO DA FONSECA,1646,JARDIM SOCIAL,"RUA MARECHAL DEODORO DA FONSECA, JARDIM SOCIAL, ALTONIA, PR, BRASIL",-23.87029,-53.89599,"Rua Marechal Deodoro da Fonseca, 87550-000, Altônia","23 52m 13.044s S, 53 53m 45.564s W",87550-000
PR,ALTONIA,POSTO DE SAUDE JARDIM PLANALTO,LUIZ SALA SOBRINHO,37,JARDIM PLANALTO,"LUIZ SALA SOBRINHO, JARDIM PLANALTO, ALTONIA, PR, BRASIL",-23.9522,-53.94833,"Jardim Paredão, Altônia","23 57m 7.92s S, 53 56m 53.988s W",
PR,ALTO PARAISO,POSTO DE SAUDE PORTO FIGUEIRA,AV MATO GROSSO,S/N,CENTRO,"AV MATO GROSSO, CENTRO, ALTO PARAISO, PR, BRASIL",-23.40488,-53.80927,"Avenida Mato Grosso, 87528-000, Alto Paraíso","23 24m 17.568s S, 53 48m 33.372s W",87528-000
PR,ALTO PARAISO,CENTRO DE SAUDE DE ALTO PARAISO,RUA AUGUSTO JOSE DE SOUZA,1077,CENTRO,"RUA AUGUSTO JOSE DE SOUZA, CENTRO, ALTO PARAISO, PR, BRASIL",-23.50982,-53.73054,"Avenida Augusto José de Souza, Alto Paraíso","23 30m 35.352s S, 53 43m 49.944s W",
PR,ALTO PARAISO,UNIDADE DE ATENCAO PRIMARIA SAUDE DA FAMILIA,AV AUGUSTO JOSE DE SOUZA,S/N,CENTRO,"AV AUGUSTO JOSE DE SOUZA, CENTRO, ALTO PARAISO, PR, BRASIL",-23.50982,-53.73054,"Avenida Augusto José de Souza, Alto Paraíso","23 30m 35.352s S, 53 43m 49.944s W",
PR,ALTO PARANA,NIS II SANTA MARIA,RUA 16 DE AGOSTO,425,SANTA MARIA,"RUA 16 DE AGOSTO, SANTA MARIA, ALTO PARANA, PR, BRASIL",-24.46052,-53.95729,"Rua Vinte e Três de Agosto, 16, 85930-000, Nova Santa Rosa","24 27m 37.872s S, 53 57m 26.244s W",85930-000
PR,ALTO PARANA,NIS II MARISTELA,RUA PINA,277,MARISTELA,"RUA PINA, MARISTELA, ALTO PARANA, PR, BRASIL",-23.1288426,-52.2940059,"Rua Pina, Maristela, Alto Paraná, Região Geográfica Imediata de Paranavaí, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, Brasil","23 7m 43.8334s S, 52 17m 38.4212s W",
PR,ALTO PARANA,NIS II GRALHA AZUL,RUA 07 QUEDAS,1853,CJ GRALHA AZUL,"RUA 07 QUEDAS, CJ GRALHA AZUL, ALTO PARANA, PR, BRASIL",-25.4192,-53.17903,"Rua Gralha Azul, 85485-000, Três Barras do Paraná","25 25m 9.12s S, 53 10m 44.508s W",85485-000
PR,ALTO PARANA,NIS II ALTO PARANA,RUA SOARES RAPOSO,1157,CENTRO,"RUA SOARES RAPOSO, CENTRO, ALTO PARANA, PR, BRASIL",-23.12986,-52.31876,"Rua Soares Raposo, 87750-000, Alto Paraná","23 7m 47.496s S, 52 19m 7.536s W",87750-000
PR,ALTO PARANA,NIS II CENTRAL DE ALTO PARANA,RUA JOSE DE ANCHIETA,1505,CENTRO,"RUA JOSE DE ANCHIETA, CENTRO, ALTO PARANA, PR, BRASIL",-23.13123,-52.31928,"Rua José de Anchieta, 87750-000, Alto Paraná","23 7m 52.428s S, 52 19m 9.408s W",87750-000
PR,ALTO PIQUIRI,POSTO DE SAUDE SALTINHO DO OESTE,PRACA DOM BOSCO,S/N,SALTINHO DO OESTE,"PRACA DOM BOSCO, SALTINHO DO OESTE, ALTO PIQUIRI, PR, BRASIL",-23.9386038,-53.416899,"Praça Dom Bosco, Saltinho do Oeste, Alto Piquiri, Região Geográfica Imediata de Umuarama, Região Metropolitana de Umuarama, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, 87585-000, Brasil","23 56m 18.9737s S, 53 25m 0.8364s W",87585-000
PR,ALTO PIQUIRI,POSTO DE SAUDE PAULISTANIA,AV PAULISTA,S/N,PAULISTANIA,"AV PAULISTA, PAULISTANIA, ALTO PIQUIRI, PR, BRASIL",-24.1568978,-53.3733548,"Avenida Paulista, Paulistânia, Alto Piquiri, Região Geográfica Imediata de Umuarama, Região Metropolitana de Umuarama, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, 87588-000, Brasil","24 9m 24.8321s S, 53 22m 24.0773s W",87588-000
PR,ALTO PIQUIRI,CENTRO DE SAUDE WALTER LAMONICA DOS SANTOS,RUA GETULIO VARGAS,1162,CENTRO,"RUA GETULIO VARGAS, CENTRO, ALTO PIQUIRI, PR, BRASIL",-24.02414,-53.4436,"Rua Getúlio Vargas, 87580-000, Alto Piquiri","24 1m 26.904s S, 53 26m 36.96s W",87580-000
PR,ALTO PIQUIRI,POSTO DE SAUDE MIRANTE DO PIQUIRI,RUA NOSSA SENHORA APARECIDA,S/N,MIRANTE DO PIQUIRI,"RUA NOSSA SENHORA APARECIDA, MIRANTE DO PIQUIRI, ALTO PIQUIRI, PR, BRASIL",-24.2015864,-53.39298,"Rua Nossa Senhora Aparecida, Mirante do Piquiri, Alto Piquiri, Região Geográfica Imediata de Umuarama, Região Metropolitana de Umuarama, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, 87590-000, Brasil","24 12m 5.71104s S, 53 23m 34.728s W",87590-000
PR,ALTO PIQUIRI,UNIDADE DE ATENCAO PRIMARIA DA SAUDE DA FAMILIA,RUA RIBEIRAO PRETO,2440,CENTRO,"RUA RIBEIRAO PRETO, CENTRO, ALTO PIQUIRI, PR, BRASIL",-24.03116,-53.44551,"Rua Ribeirão Preto, 87580-000, Alto Piquiri","24 1m 52.176s S, 53 26m 43.836s W",87580-000
PR,ALVORADA DO SUL,POSTO DE SAUDE CENTRAL DE ALVORADA DO SUL,RUA ROSA IMPERATORE ALVES,1098,CENTRO,"RUA ROSA IMPERATORE ALVES, CENTRO, ALVORADA DO SUL, PR, BRASIL",-22.78229,-51.2279,"Rua Rosa Imperatore Alves, 86150-000, Alvorada do Sul","22 46m 56.244s S, 51 13m 40.44s W",86150-000
PR,ALVORADA DO SUL,UAPSF UNIDADE DE ATENCAO PRIMARIA SAUDE DA FAMILIA,PRACA ANTONIO DE SOUZA LEMOS,32,CENTRO,"PRACA ANTONIO DE SOUZA LEMOS, CENTRO, ALVORADA DO SUL, PR, BRASIL",-29.23195,-51.15603,"Praça Antônio de Lazzer, Caxias do Sul","29 13m 55.02s S, 51 9m 21.708s W",
PR,ALVORADA DO SUL,POSTO DE SAUDE DA ESPERANCA DO NORTE,RUA EMILIO SOLCIA,114,ESPERANCA DO NORTE,"RUA EMILIO SOLCIA, ESPERANCA DO NORTE, ALVORADA DO SUL, PR, BRASIL",-22.77762,-51.22608,"Rua Emílio Solcia, 86150-000, Alvorada do Sul","22 46m 39.432s S, 51 13m 33.888s W",86150-000
PR,AMAPORA,NIS II AMAPORA,RUA SAO PAULO,S/N,CENTRO,"RUA SAO PAULO, CENTRO, AMAPORA, PR, BRASIL",-23.0964,-52.78703,"Rua São Paulo, 87850-000, Amaporã","23 5m 47.04s S, 52 47m 13.308s W",87850-000
PR,AMAPORA,UNIDADE DE ATENCAO PRIMARIA SAUDE DA FAMILIA,AVENIDA IVAI,S/N,CENTRO,"AVENIDA IVAI, CENTRO, AMAPORA, PR, BRASIL",-23.1074,-52.78836,"Avenida Ivaí, 87850-000, Amaporã","23 6m 26.64s S, 52 47m 18.096s W",87850-000
PR,AMAPORA,NIS I NORDESTINA,AVN PARANAGUA,S/N,NORDESTINA,"AVN PARANAGUA, NORDESTINA, AMAPORA, PR, BRASIL",-23.0908,-52.77947,"Avenida Norte, 87850-000, Amaporã","23 5m 26.88s S, 52 46m 46.092s W",87850-000
PR,AMPERE,UNIDADE PSF III AMPERE,RUA ROMA,457,NOSSA SENHORA DAS GR,"RUA ROMA, NOSSA SENHORA DAS GR, AMPERE, PR, BRASIL",-25.92544,-53.48068,"Rua Roma, 85640-000, Ampére","25 55m 31.584s S, 53 28m 50.448s W",85640-000
PR,AMPERE,UNIDADE DE PSF V AMPERE,BOA VISTA,126,SANTA MONICA,"BOA VISTA, SANTA MONICA, AMPERE, PR, BRASIL",-25.9185,-53.46737,"Rua Boa Vista, 85640-000, Ampére","25 55m 6.6s S, 53 28m 2.532s W",85640-000
PR,AMPERE,POSTO DE SAUDE SAO SALVADOR AMPERE,RUA PRINCIPAL,S/N,LINHA SAO SALVADOR,"RUA PRINCIPAL, LINHA SAO SALVADOR, AMPERE, PR, BRASIL",-24.01337,-46.42304,"Rua São Salvador, 11701-830, Praia Grande","24 0m 48.132s S, 46 25m 22.944s W",11701-830
PR,AMPERE,CENTRO DE SAUDE NIS I AMPERE,RUA ARTHUR KRINDGES,572,CENTRO,"RUA ARTHUR KRINDGES, CENTRO, AMPERE, PR, BRASIL",-25.51253,-54.55844,"Rua Arthur Bernardes, 85863-130, Foz do Iguaçu","25 30m 45.108s S, 54 33m 30.384s W",85863-130
PR,AMPERE,PSF NOSSA SENHORA APARECIDA,RUA ROMEU NICOLETTI,S/N,COLINA VERRDE,"RUA ROMEU NICOLETTI, COLINA VERRDE, AMPERE, PR, BRASIL",-25.93024,-53.49023,"Rua Romeu Nicoletti, 85640-000, Ampére","25 55m 48.864s S, 53 29m 24.828s W",85640-000
PR,AMPERE,PSF ANGELINA FORTE SCARIOT,RUA CARAMURU,1125,SAO FRANCISCO,"RUA CARAMURU, SAO FRANCISCO, AMPERE, PR, BRASIL",-25.92519,-53.46789,"Rua Caramuru, 85640-000, Ampére","25 55m 30.684s S, 53 28m 4.404s W",85640-000
PR,ANAHY,UNIDADE DE ATENCAO PRIMARIA DE SF DE ANAHY UAPSF,AVENIDA BRASIL,456,CENTRO,"AVENIDA BRASIL, CENTRO, ANAHY, PR, BRASIL",-20.4776358,-54.6545734,"Avenida Prefeito Lúdio Martins Coelho, Vila dos Marimbas, Caiçara, Campo Grande, Região Geográfica Imediata de Campo Grande, Região Geográfica Intermediária de Campo Grande, Mato Grosso do Sul, Região Centro-Oeste, 79090-160, Brasil","20 28m 39.4889s S, 54 39m 16.4642s W",79090-160
PR,ANAHY,C S DE ANAHY,RUA GENERAL OSORIO,S/N,CENTRO,"RUA GENERAL OSORIO, CENTRO, ANAHY, PR, BRASIL",-24.64696,-53.13701,"Rua General Osório, 85425-000, Anahy","24 38m 49.056s S, 53 8m 13.236s W",85425-000
PR,ANDIRA,UNIDADE BASICA DE SAUDE BAIRRO TIMBURI,R AURELIO CAMBI GILDO JOAO ZAFANELLI,805,TIMBURI II,"R AURELIO CAMBI GILDO JOAO ZAFANELLI, TIMBURI II, ANDIRA, PR, BRASIL",-23.04783,-50.24295,"Rua João Gildo Zafanelli & Rua Aurélio Cambi, 86380, Andirá","23 2m 52.188s S, 50 14m 34.62s W",86380
PR,ANDIRA,UNIDADE BASICA DE SAUDE DISTRITO NOSSA SENHORA APARECIDA,RUA DANIEL MOLINA,330,DIST N S APARECID,"RUA DANIEL MOLINA, DIST N S APARECID, ANDIRA, PR, BRASIL",-22.96481,-50.26816,"Rua Daniel Molina, 86383-000, Andirá","22 57m 53.316s S, 50 16m 5.376s W",86383-000
PR,ANDIRA,UNIDADE BASICA DE SAUDE VILA AMERICANA,RUA GUAIPURUS,1055,VILA AMERICANA,"RUA GUAIPURUS, VILA AMERICANA, ANDIRA, PR, BRASIL",-22.751,-47.32253,"Rua Guaiçurus, 13466-100, Americana","22 45m 3.6s S, 47 19m 21.108s W",13466-100
PR,ANDIRA,UNIDADE BASICA DE SAUDE VILA SANTA INES,RUA SAO PAULO,1428,VILA SANTA INES,"RUA SAO PAULO, VILA SANTA INES, ANDIRA, PR, BRASIL",-22.72881,-47.30102,"Rua Santa Inês, 13473-060, Americana","22 43m 43.716s S, 47 18m 3.672s W",13473-060
PR,ANDIRA,UNIDADE BASICA DE SAUDE SANTA HELENA,AVENIDA AILSON RAMOS DOS SANTOS,S/N,JARDIM SANTA HELENA,"AVENIDA AILSON RAMOS DOS SANTOS, JARDIM SANTA HELENA, ANDIRA, PR, BRASIL",-23.44873,-47.48396,"Rua Gregório Ramos dos Santos, 18078-000, Sorocaba","23 26m 55.428s S, 47 29m 2.256s W",18078-000
PR,ANDIRA,CENTRO DE SAUDE DR ANGELO PAPA,AVENIDA CESARIO CASTILHO,1533,CENTRO,"AVENIDA CESARIO CASTILHO, CENTRO, ANDIRA, PR, BRASIL",-23.055544,-50.2231112888855,"Congregação Cristã Do Brasil, Avenida Cesário Castilho, Andirá, Região Geográfica Imediata de Santo Antônio da Platina, Região Geográfica Intermediária de Londrina, Paraná, Região Sul, 86380-000, Brasil","23 3m 19.9584s S, 50 13m 23.2006s W",86380-000
PR,ANDIRA,UNIDADE BASICA DE SAUDE VILA INDUSTRIAL,RUA RUI BARBOSA,90,VILA INDUSTRIAL,"RUA RUI BARBOSA, VILA INDUSTRIAL, ANDIRA, PR, BRASIL",-23.04843,-50.21954,"Rua Rui Barbosa, 86380-000, Andirá","23 2m 54.348s S, 50 13m 10.344s W",86380-000
PR,ANGULO,DEPARTAMENTO MUNICIPAL DE SAUDE,RUA DELMIRO COSTA DE OLIVEIRA,45,CENTRO,"RUA DELMIRO COSTA DE OLIVEIRA, CENTRO, ANGULO, PR, BRASIL",-23.19738,-51.90943,"Rua Delmiro Costa de Oliveira, 86755-000, Ângulo","23 11m 50.568s S, 51 54m 33.948s W",86755-000
PR,ANGULO,NUCLEO INTEGRADO DE SAUDE I ANGULO,RUA DELMIRO COSTA OLIVEIRA,43,CENTRO,"RUA DELMIRO COSTA OLIVEIRA, CENTRO, ANGULO, PR, BRASIL",-23.19738,-51.90943,"Rua Delmiro Costa de Oliveira, 86755-000, Ângulo","23 11m 50.568s S, 51 54m 33.948s W",86755-000
PR,ANTONINA,UNIDADE BASICA DE SAUDE DO CEDRO MIRTHES ROTOLLI MACEDO,SITIO DO CEDRO,S/N,SITIO DO CEDRO,"SITIO DO CEDRO, SITIO DO CEDRO, ANTONINA, PR, BRASIL",-3.75255,-38.50028,"Rua Sítio Cedro, 60170-130, Fortaleza","3 45m 9.18s S, 38 30m 1.008s W",60170-130
PR,ANTONINA,UNIDADE BASICA DE SAUDE DA PONTA DA PITA CLAILTON JOSE GON,RUA ENGENHEIRO LUIZ AUGUSTO L FONSECA,S/N,PONTA DA PITA,"RUA ENGENHEIRO LUIZ AUGUSTO L FONSECA, PONTA DA PITA, ANTONINA, PR, BRASIL",-25.45403,-48.68831,"Rua Engenheiro Luiz Augusto de Leão Fonseca, 83370-000, Antonina","25 27m 14.508s S, 48 41m 17.916s W",83370-000
PR,ANTONINA,UNIDADE BASICA DE SAUDE DO BARIGUI PADRE AFONSO SULLIVAN,RUA DURVALINA ARMSTRONG DOS SANTOS,S/N,BARIGUI,"RUA DURVALINA ARMSTRONG DOS SANTOS, BARIGUI, ANTONINA, PR, BRASIL",-25.11765,-50.13367,"Rua Antonina Wrodlewski dos Santos, 84026-550, Ponta Grossa","25 7m 3.54s S, 50 8m 1.212s W",84026-550
