UF,MUNICIPIO,NOME,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,LATITUDE,LONGITUDE,ENDERECO_API,POINT,CEP,CO_CNES
CE,ACOPIARA,UNIDADE BASICA DE SAUDE MOREIRAS I,AV FRANCISCO ALVES DA SILVA,S/N,MOREIRA,"AV FRANCISCO ALVES DA SILVA, MOREIRA, ACOPIARA, CE, BRASIL",-6.10224,-39.4504,"Avenida Francisco Alves da Silva, 63560-000, Acopiara","6 6m 8.064s S, 39 27m 1.44s W",63560-000,2414880
CE,ACOPIARA,POSTO DE SAUDE DE SANTO ANTONIO,DISTRITO SANTO ANTONIO,S/N,ZONA RURAL,"DISTRITO SANTO ANTONIO, ZONA RURAL, ACOPIARA, CE, BRASIL",-3.86988,-38.59329,"Rua Santo Antônio & Avenida Doutor José de Borba Vasconcelos, 61934, Maracanaú","3 52m 11.568s S, 38 35m 35.844s W",61934,2480433
CE,ACOPIARA,POSTO DE SAUDE DE SANTA FELICIA,VILA DE UMARI,S/N,DISTRITO DE SANTA FE,"VILA DE UMARI, DISTRITO DE SANTA FE, ACOPIARA, CE, BRASIL",-7.31465,-38.51674000000001,Bonito de Santa Fé,"7 18m 52.74s S, 38 31m 0.264s W",,2414961
CE,ACOPIARA,POSTO DE SAUDE DE EBROM,VILA DE EBROM,S/N,ZONA RURAL,"VILA DE EBROM, ZONA RURAL, ACOPIARA, CE, BRASIL",-6.1022,-39.47141,"Avenida José de Morais Pinho, 63560-000, Acopiara","6 6m 7.92s S, 39 28m 17.076s W",63560-000,2644983
CE,ACOPIARA,POSTO DE SAUDE DE SAO PAULO,RUA MANOEL DA SILVA LEAL,S/N,ZONA RURAL,"RUA MANOEL DA SILVA LEAL, ZONA RURAL, ACOPIARA, CE, BRASIL",-6.52737,-39.53131,"Rua J da Silva Leal, 63580-000, Jucás","6 31m 38.532s S, 39 31m 52.716s W",63580-000,2645025
CE,ACOPIARA,UNIDADE BASICA DE SAUDE CALABACO,ST CALABACO,S/N,ZONA RURAL,"ST CALABACO, ZONA RURAL, ACOPIARA, CE, BRASIL",-6.0899300000000025,-39.44886,"Acopiara, CE, Brasil","6 5m 23.748s S, 39 26m 55.896s W",,5792843
CE,ACOPIARA,CENTRO DE SAUDE DE ACOPIARA,RUA DR TIBURCIO SOARES,S/N,CENTRO,"RUA DR TIBURCIO SOARES, CENTRO, ACOPIARA, CE, BRASIL",-6.09579,-39.45591,"Rua Doutor Tibúrcio Soares, 63560-000, Acopiara","6 5m 44.844s S, 39 27m 21.276s W",63560-000,2414902
CE,ACOPIARA,POSTO DE SAUDE DE VILA LUNA,VILA LUNA,S/N,ZONA RURAL,"VILA LUNA, ZONA RURAL, ACOPIARA, CE, BRASIL",-6.10203,-39.46767,"Vila Esperança, Acopiara","6 6m 7.308s S, 39 28m 3.612s W",,5988462
CE,AIUABA,CENTRO DE SAUDE DE AIUABA,RUA OTONI ANDRADE,95,CENTRO,"RUA OTONI ANDRADE, CENTRO, AIUABA, CE, BRASIL",-6.56987,-40.12284,"Rua Otônio Andrade, Aiuaba","6 34m 11.532s S, 40 7m 22.224s W",,2373041
CE,AIUABA,POSTO DE SAUDE DE CEDRO,DISTRITO DE CEDRO,S/N,CENTRO,"DISTRITO DE CEDRO, CENTRO, AIUABA, CE, BRASIL",-15.684029999999998,-48.19457,"Centro de Comércio e Diversões, 72705-500, Brasília","15 41m 2.508s S, 48 11m 40.452s W",72705-500,2610795
CE,AIUABA,POSTO DE SAUDE DE SAO NICOLAU,DISTRITO DE SAO NICOLAU,S/N,CENTRO,"DISTRITO DE SAO NICOLAU, CENTRO, AIUABA, CE, BRASIL",-15.684029999999998,-48.19457,"Centro de Comércio e Diversões, 72705-500, Brasília","15 41m 2.508s S, 48 11m 40.452s W",72705-500,2610787
CE,AIUABA,UBS BELA VISTA,RUA RODRIGUES MACENA,0,BELA VISTA,"RUA RODRIGUES MACENA, BELA VISTA, AIUABA, CE, BRASIL",-5.27006,-38.26811,"Rua Leôncio Rodrigues, 62965-000, São João do Jaguaribe","5 16m 12.216s S, 38 16m 5.196s W",62965-000,2239159
CE,AIUABA,POSTO DE SAUDE DE BOM NOME,VILA BOM NOME,S/N,CENTRO,"VILA BOM NOME, CENTRO, AIUABA, CE, BRASIL",-5.13501,-38.08487,"Bom Nome, Limoeiro do Norte","5 8m 6.036s S, 38 5m 5.532s W",,2610825
CE,AIUABA,POSTO DE SAUDE DE BARRA VERDE,DISTRITO DE BARRA VERDE,S/N,CENTRO,"DISTRITO DE BARRA VERDE, CENTRO, AIUABA, CE, BRASIL",-15.684029999999998,-48.19457,"Centro de Comércio e Diversões, 72705-500, Brasília","15 41m 2.508s S, 48 11m 40.452s W",72705-500,2610817
CE,AIUABA,POSTO DE SAUDE DE BARRA UMBUZEIRO,DISTRITO DE BARRA,S/N,CENTRO,"DISTRITO DE BARRA, CENTRO, AIUABA, CE, BRASIL",-15.684029999999998,-48.19457,"Centro de Comércio e Diversões, 72705-500, Brasília","15 41m 2.508s S, 48 11m 40.452s W",72705-500,2610779
CE,ALCANTARAS,POSTO DE SAUDE DE ROSAPOLES,POVOADO DE ROSAPOLES,S/N,ROSAPOLES,"POVOADO DE ROSAPOLES, ROSAPOLES, ALCANTARAS, CE, BRASIL",-3.99635,-38.48361,"Povoado de Russega, 61700-000, Aquiraz","3 59m 46.86s S, 38 29m 0.996s W",61700-000,0
CE,ALCANTARAS,UBS ANTONIO ROCHA FREIRE,RUA JOAO CAETANO,S/N,CENTRO,"RUA JOAO CAETANO, CENTRO, ALCANTARAS, CE, BRASIL",-3.5871800000000005,-40.54468,"Rua João Caetano, 62120-000, Alcântaras","3 35m 13.848s S, 40 32m 40.848s W",62120-000,0
CE,ALCANTARAS,POSTO DE SAUDE FRANCISCO MACHADO ALCANTARA,RUA JOAQUIM CAETANO,S/N,JUNCO,"RUA JOAQUIM CAETANO, JUNCO, ALCANTARAS, CE, BRASIL",-3.5909,-40.54774000000001,"Rua Joaquim Caetano, 62120-000, Alcântaras","3 35m 27.24s S, 40 32m 51.864s W",62120-000,2479540
CE,ALCANTARAS,POSTO DE SAUDE VEREADOR JOSE REINALDO,DISTRITO DE VENTURA,S/N,DISTRITO DE VENTURA,"DISTRITO DE VENTURA, DISTRITO DE VENTURA, ALCANTARAS, CE, BRASIL",-3.92286,-40.89567,"Estrada Distrito de Betânia, 62360-000, Ibiapina","3 55m 22.296s S, 40 53m 44.412s W",62360-000,2479532
CE,ALCANTARAS,POSTO DE SAUDE RAIMUNDO NONATO DE ALBUQUERQUE,DISTRITO DE CARMOLANDIA,S/N,POVOADO DE CARM,"DISTRITO DE CARMOLANDIA, POVOADO DE CARM, ALCANTARAS, CE, BRASIL",-3.92286,-40.89567,"Estrada Distrito de Betânia, 62360-000, Ibiapina","3 55m 22.296s S, 40 53m 44.412s W",62360-000,2479516
CE,ALCANTARAS,POSTO DE SAUDE DO SITIO SAQUINHO,SANTA BARBARA,S/N,SITIO,"SANTA BARBARA, SITIO, ALCANTARAS, CE, BRASIL",-3.54952,-40.52235,"Estrada Santa Bárbara, 62120-000, Alcântaras","3 32m 58.272s S, 40 31m 20.46s W",62120-000,6689787
CE,ALCANTARAS,POSTO DE SAUDE DOUTOR SHIGUEO NAKAMURA,RUA MONSENHOR JOSE FURTADO,1,BELA VISTA,"RUA MONSENHOR JOSE FURTADO, BELA VISTA, ALCANTARAS, CE, BRASIL",-3.58439,-40.54413,"Rua Monsenhor José Furtado, 62120-000, Alcântaras","3 35m 3.804s S, 40 32m 38.868s W",62120-000,6941338
CE,ALCANTARAS,POSTO DE SAUDE JOAQUIM XIMENES CARVALHO,RUA PEDRO CARMO,1,SAO JOSE,"RUA PEDRO CARMO, SAO JOSE, ALCANTARAS, CE, BRASIL",-3.58536,-40.54237,"Rua Pedro Carmo, 62120-000, Alcântaras","3 35m 7.296s S, 40 32m 32.532s W",62120-000,6942156
CE,ALTANEIRA,UNIDADE BASICA DE SAUDE DA FAMILIA I,PADRE LUIS ANTONIO,S/N,SANTA TEREZA,"PADRE LUIS ANTONIO, SANTA TEREZA, ALTANEIRA, CE, BRASIL",-7.0003600000000015,-39.73733,"Rua Padre Luís Antônio, 63195-000, Altaneira","7 0m 1.296s S, 39 44m 14.388s W",63195-000,2334070
CE,ALTANEIRA,UNIDADE BASICA DE SAUDE DA FAMILIA III,TRAVESSA FURTADFO LEITE,S/N,CENTRO,"TRAVESSA FURTADFO LEITE, CENTRO, ALTANEIRA, CE, BRASIL",-4.56234,-37.76794,"Travessa Francisco Leite, 62800-000, Aracati","4 33m 44.424s S, 37 46m 4.584s W",62800-000,5346363
CE,ALTANEIRA,POSTO DE SAUDE DE SAO ROMAO,SITIO SAO ROMAO,S/N,SITIO SAO ROMAO ZO,"SITIO SAO ROMAO, SITIO SAO ROMAO ZO, ALTANEIRA, CE, BRASIL",-13.0885,-43.46853,"Travessa São Romão, 47610-000, Sítio do Mato","13 5m 18.6s S, 43 28m 6.708s W",47610-000,2527294
CE,ALTO SANTO,UNIDADE BASICA DE SAUDE DO TIBOLO,SITIO TIBOLO,S/N,ZONA PERIURBANA,"SITIO TIBOLO, ZONA PERIURBANA, ALTO SANTO, CE, BRASIL",-5.52492,-38.25709000000001,"Tibolo, Alto Santo","5 31m 29.712s S, 38 15m 25.524s W",,6379591
CE,ALTO SANTO,UNIDADE BASICA DE SAUDE DO BATOQUE,SITIO BATOQUE,S/N,ZONA RURAL,"SITIO BATOQUE, ZONA RURAL, ALTO SANTO, CE, BRASIL",-5.5208900000000005,-38.27115,Alto Santo,"5 31m 15.204s S, 38 16m 16.14s W",,6379583
CE,ALTO SANTO,POSTO DE SAUDE DE BAIXIO GRANDE,SITIO BAIXIO GRANDE,S/N,BAIXIO GRANDE,"SITIO BAIXIO GRANDE, BAIXIO GRANDE, ALTO SANTO, CE, BRASIL",-6.7291300000000005,-38.72535,"Rua Estrada Baixio Grande, 63320-000, Baixio","6 43m 44.868s S, 38 43m 31.26s W",63320-000,2552272
CE,ALTO SANTO,POSTO DE SAUDE AMELIA HOLANDA GUIMARAES,RUA MARIA ALAIDE MAIA,S/N,CASTANHAO,"RUA MARIA ALAIDE MAIA, CASTANHAO, ALTO SANTO, CE, BRASIL",-5.46649,-38.40709,"Travessa Maria Alaíde Maia, 62975-000, Alto Santo","5 27m 59.364s S, 38 24m 25.524s W",62975-000,2552280
