UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO
AC,JORDAO,SAUDE DA FAMILIA RIBEIRINHA,RIO TARAUACA,S/N,ZONNA RURAL
AC,JORDAO,UNIDADE DE SAUDE DA FAMILIA ANTONIO RODRIGUES DOURADO,RUA ROMILDO MAGALHAES,S/N,CENTRO
AC,JORDAO,UNIDADE DE SAUDE DA FAMILIA MARIA LIMA SOUZA ARAGAO,COMUNIDADE NOVO PORTO RIO MURU,S/N,ZONA RURAL
AC,MANCIO LIMA,U S F FRANCISCO ALENCAR,PARANA PENTECOSTE,258,ZONA RURAL
AC,MANCIO LIMA,U S F JOSE ARAUJO,JOAO ELEOTERIO DA SILVA,478,IRACEMA
AC,MANCIO LIMA,U S F SOFIA ALMEIDA BARRETO,RUA OSVALDO CORREIA SANTANA,105,SAO FRANCISCO
AC,MANCIO LIMA,POSTO DE SAUDE JOAQUIN LOPES,SAO SALVADOR,159,RIO MOA
AC,MANCIO LIMA,UBS RAIMUNDO REGINALDO DE ALMEIDA,RUA JOSE HACHAER,S/N,SAO VIDAL
AC,MANCIO LIMA,U S F QUINTINO RIO BRANCO LEBRE,MARIA EMILIA DE NAZARE,2015,COBAL
AC,MANCIO LIMA,UNIDADE S FAMILIA DR CERQUEIRA,AVENIDA JAPIIM,S/N,GUARANI
AC,MANCIO LIMA,USF WILSON BATISTA SIQUEIRA,RUA ANSELMO MAIA,205,SAO VIDAL
AC,MANOEL URBANO,UNIDADE DE SAUDE INACIO RIBEIRO DA SILVA,RUA VALERIO G DE MAGALHAES,S/N,CENTRO
AC,MANOEL URBANO,SESACRE UNIDADE MISTA DE MANOEL URBANO,RUA FRANCISCO FREITAS,S/N,SAO JOSE
AC,MANOEL URBANO,UNIDADE BASICA DE SAUDE MILTON AUGUSTO DA SILVA,BR 364 KM 16,S/N,BR 364
AC,MANOEL URBANO,UNIDADE DE SAUDE JOSEFA NUNES,RUA FRANCISCO FERREIRA MENDES,S/N,SAO FRANCISCO
AC,MANOEL URBANO,UNIDADE BASICA DE SAUDE PROJETO LIBERDADE,BR 364 KM 16,S/N,BR 364
AC,MARECHAL THAUMATURGO,USF RAIMUNDO GOMES DE AZEVEDO,RUA RAIMUNDO MARGARIDA,S/N,CENTRO
AC,MARECHAL THAUMATURGO,USF DR NALDIR MARIANO,RUA FRANCISCO BEZERRA,S/N,CENTRO
AC,MARECHAL THAUMATURGO,USF SAUDE DA FAMILIA MOVEL,COMUNIDADE BELFORT,S/N,ZONA RURAL
AC,MARECHAL THAUMATURGO,USF LUIZ FONTINELI,ZONA RURAL,S/N,VILA RESTAURACAO
AC,MARECHAL THAUMATURGO,USF ROSENDO RODRIGUES,RIO JURUA,S/N,VILA FOZ DO BREU
AC,MARECHAL THAUMATURGO,UNIDADE MISTA DE MARECHAL THAUMATURGO,RUA 05 DE NOVEMBRO,S/N,CENTRO
AC,PLACIDO DE CASTRO,UNIDADE MISTA ANA NERY,RUA KAXINAUAS,339,CENTRO
AC,PLACIDO DE CASTRO,U S F MARIO GOMES DA SILVA,ROD AC 40 KM 58,S/N,ROD AC 40
AC,PLACIDO DE CASTRO,U S F JOAO DE DEUS,ROD AC 40 KM 02,S/N,MUTIRAO III
AC,PLACIDO DE CASTRO,U S F CECILIA SANTANA DE MENEZES SEVERINO,AC 40 KM 75 TRIUNFO,25,ZONA RURAL
AC,PLACIDO DE CASTRO,U S F MARIA DE FATIMA FERREIRA DE PAULA,RUA CORONEL FONTINELE DE CASTRO,1080,CENTRO
AC,PLACIDO DE CASTRO,U S F LUCIO ALVES DA SILVA,RUA FRANCISCO MARQUES DOS SANTOS,675,THAUMATURGO
AC,PLACIDO DE CASTRO,U S F DOLORES SILVA VALENTIN,RUA EPITACIO PESSOA,S/N,CAGEACRE
AC,PLACIDO DE CASTRO,U S F RAIMUNDO NONATO DE SOUZA MARQUES,RODOVIA AC 475 KM 14,S/N,ZONA RURAL
AC,PLACIDO DE CASTRO,U S F FRANCISCO DE CASTRO,RUA AQUIRI,206,ZONA RURAL DISTRIT
AC,PORTO ACRE,UNIDADE DE SAUDE DA FAMILIA OSWALDO CRUZ,ROD AC 10 KM 29,S/N,PROJETO HUMAITA
AC,PORTO ACRE,UNIDADE DE SAUDE DA FAMILIA ILDA BARBOSA DE SOUZA,RUA DO LIMAO,S/N,PROJETO HUMAITA VILA
AC,PORTO ACRE,UNIDADE DE SAUDE DA FAMILIA MARIA SOLEDADE SOARES GADELHA,ROD AC 10KM 56,S/N,LIVRAMENTO
AC,PORTO ACRE,UNIDADE DE SAUDE DA FAMILIA ALVARO ARAUJO NOBRE,RAMAL BOA FE,S/N,PROJETO TOCANTINS
AC,PORTO ACRE,UNIDADE DE SAUDE DA FAMILIA DANIEL GLENDSON DE LUCENA,TRAVESSA DAS MARGARIDAS LOTE 25 QUADRA 2,S/N,PROJETO CAQUETA
AC,PORTO WALTER,UNIDADE MISTA DE PORTO WALTER,RUA MAMED CAMELY,S/N,CENTRO
AC,PORTO WALTER,UBS VICENTE VARELA DE ALMEIDA,RUA BEIRA RIO,S/N,CENTRO
AC,PORTO WALTER,POSTO DE SAUDE MANOEL BEZERRA CORREIA,BIZOURO,S/N,ZONA RURAL
AC,PORTO WALTER,POSTO DE SAUDE MARIA AUGUSTA DA CONCEICAO SILVA,VITORIA,S/N,ZONA RURAL
AC,PORTO WALTER,UBS MAURICIO PINHEIRO DE OLIVEIRA,RUA MARIA SOBREIRA LIMA,S/N,PORTELINHA
AC,PORTO WALTER,UBS FRANCISCA DAS CHAGAS LUSTOSA,RUA HUMAITA,S/N,ZONA RURAL
AC,RIO BRANCO,USF MARIA DA CONCEICAO,RUA PRIMAVERA,36,BELO JARDIM I
AC,RIO BRANCO,URAP AUGUSTO HIDALGO DE LIMA,RUA TIAO NATUREZA,271,BAHIA
AC,RIO BRANCO,URAP DRA CLAUDIA VITORINO,RUA BAGUARI,40,TAQUARI
AC,RIO BRANCO,USF ESPERANCA I,RUA EUCLIDES DA CUNHA,139,CONJUNTO ESPERANCA
AC,RIO BRANCO,USF FRANCISCO CONSTANCIO DA SILVA,ESTRADA DA SOBRAL RUA DA SANACRE,2595,BOA VISTA SOBRAL
AC,RIO BRANCO,USF FRANCISCO EDUARDO DE PAIVA,RUA AMOTY PASCOAL,722,RUI LINO 3
AC,RIO BRANCO,USF AGRIPINA LINDOSO,RAMAL DA PICARREIRA KM 08,S/N,ZONA RURAL
AC,RIO BRANCO,USF TEREZA ROSAS,RUA DA PAZ,S/N,BELO JARDIM II
AC,RIO BRANCO,USF TRIANGULO NOVO,TRAV MARIA DE LOURDES,154,TRIANGULO NOVO
AC,RIO BRANCO,USF ELPIDIO MOREIRA SOUZA,RUA DA PRACA,S/N,DEFESA CIVIL
AC,RIO BRANCO,USF RECANTO DOS BURITIS I,RUA QUEIROZ,1,RECANTO DOS BURITIS
AC,RIO BRANCO,USF VITORIA I,TRAVESSA CAMPO VERDE,2,SAO FRANCISCO
AC,RIO BRANCO,USF CADEIA VELHA I,AV EPAMINONDAS JACOME,1878,CADEIA VELHA
AC,RIO BRANCO,USF SANTA INES I,RUA EDMUNDO PINTO,314,SANTA INES
AC,RIO BRANCO,USF BENFICA,RODOVIA AC 40 KM 09,S/N,BENFICA
AC,RIO BRANCO,URAP EDUARDO ASSMAR,RUA SALIM M FARAHT,S/N,QUINZE
AC,RIO BRANCO,URAP VILA IVONETE,AVENIDA ANTONIO DA ROCHA VIANA,S/N,VILA IVONETE
AC,RIO BRANCO,USF MOCINHA MAGALHAES,RUA DA BANANA,168,MOCINHA MAGALHAES
AC,RIO BRANCO,USF MARIA DE FATIMA I,RUA SANTA RITA,S/N,BAHIA NOVA
AC,RIO BRANCO,URAP ARY RODRIGUES,RUA 06 DE AGOSTO,1095,SEIS DE AGOSTO
AC,RIO BRANCO,ESCOLA MUNICIPAL ISMAEL GOMES DE CARVALHO,RUA FRANCISCO MARINHEIRO,46,TANCREDO NEVES
AC,RIO BRANCO,POLICLINICA BARRAL Y BARRAL,RUA SAO LAZARO,S/N,ESTACAO EXPERIMENTAL
AC,RIO BRANCO,ESCOLA PADRE ANTONIO DIOGO FEIJO,RUA DR ARY RODRIGUES,699,ABRAHAO ALAB
AC,RIO BRANCO,USF FRANCISCA BARBOSA GUERRA,TRAV COMARA,8,COMARA
AC,RIO BRANCO,USF MARIA DE JESUS I,RUA BAGUARI,2381,TAQUARI
AC,RIO BRANCO,USF LUANA FREITAS I,RUA DOURADO,300,CONQUISTA
AC,RIO BRANCO,USF ALBERT SAMPAIO,RUA AMERICA MATEUS,S/N,VILA ALBERT SAMPAIO
AC,RIO BRANCO,USF MAXIMO DIOGO I,RUA PAULO LEMOS DE MOURA LEITE,1943,PORTAL DA AMAZONIA
AC,RIO BRANCO,CENTRO DE SAUDE DOUTOR MARIO MAIA,RUA NOVO ANDIRA,381,CIDADE NOVA
AC,RIO BRANCO,ESCOLA MUNICIPAL ALVARO VIEIRA DA ROCHA,RUA DO ESTUDANTE,36,CONQUISTA
AC,RIO BRANCO,USF JOSE ADRIANO,TRAVESSA FRANCISCA COELHO,22,TRIANGULO VELHO
AC,RIO BRANCO,CENTRO DE SAUDE DEUSIMAR PINHEIRO DA SILVA,ESTRADA DAS PLACAS,912,PLACAS
AC,RIO BRANCO,USF FRANCISCO CARNEIRO TIO CHICO,ESTRADA DO QUIXADA RUA FLAMENGO,S/N,ELDOURADO
AC,RIO BRANCO,USF JOSE GOMES DE OLIVEIRA,RUA JOSE DO VALE,24,SOBRAL
AC,RIO BRANCO,USF MANOEL BEZERRA,RUA PADRE JOAO MARTINS,132,CIDADE DO POVO
AC,RIO BRANCO,USF MARIA BARROSO DA SILVA I,ESTRADA DA SOBRAL,1547,SOBRAL
AC,RIO BRANCO,USF FRANCISCO CAETANO DA SILVA,RUA MAURI SERGIO,198,ADALBERTO ARAGAO
AC,RIO BRANCO,USF RAIMUNDA DIONIZIO,RUA JURICABA,571,JOAO PAULO
AC,RIO BRANCO,USF LUIZ GONZAGA I,RUA ALTAMIRA,567,ALTAMIRA
AC,RIO BRANCO,USF NIMEO INSFRAN MARTINEZ,AV MARIA JOSE DE OLIVEIRA,1061,DISTRITO INDUSTRIAL
AC,RIO BRANCO,USF MARIA SEBASTIANA,RUA MACHADO DE ASSIS RAMAL BOM JESUS,174,VILA ACRE
AC,RIO BRANCO,URAP ROZANGELA PIMENTEL FIGUEIRA,ESTRADA DO CALAFATE,S/N,CALAFATE
AC,RIO BRANCO,USF MARIA SOFIA,RUA FLAVIANO MELO,78,SANTA CECILIA
AC,RIO BRANCO,USF VALDEISA VALDEZ,RUA ANTONIO RIBEIRO,571,BELO JARDIM
AC,RIO BRANCO,USF ROSA MARIA,RUA DAS ROSAS,S/N,JARDIM PRIMAVERA
AC,RIO BRANCO,USF NADEZIR DA SILVA DE LIMA,RUA MONTE SINAI,324,SANTA HELENA
AC,RIO BRANCO,USF SEBASTIANA PRADO ZONA RURAL,RODOVIA AC 90 KM 58,S/N,ZONA RURAL
AC,RIO BRANCO,USF PLATILDE OLIVEIRA I,RUA FLAVIANO MELO,S/N,TANCREDO NEVES
AC,RIO BRANCO,MODULO DE SAUDE ACRE CSE,RUA MANIFE,S/N,APOLONIO SALES
AC,RIO BRANCO,USF MARIANO GONZAGA I,RUA PLACIDO DE CASTRO,16,CONJ LAELIA ALCANTAR
AC,RIO BRANCO,URAP FRANCISCO BACURAL VIEIRA NUNES,RUA AMERICA MATEUS,S/N,VILA ALBERT SAMPAIO
AC,RIO BRANCO,URAP FRANCISCO RONEY RODRIGUES MEIRELES,RUA MARA,132,ADALBERTO SENA
AC,RIO BRANCO,COMPLEXO PENITENCIARIO DE RIO BRANCO,ESTRADA DO BARRO VERMELHO,3,DISTRITO INDUSTRIAL
AC,RIO BRANCO,URAP SAO FRANCISCO,RUA JOAQUIM MACEDO,26,SAO FRANCISCO
AC,RIO BRANCO,USF BELO JARDIM III LIBERDADE CATUABA VISTA ALEGRE RURAL,BR 364 RAMAL BELO JARDIM,S/N,ZONA RURAL
AC,RIO BRANCO,USF AEROPORTO VELHO,BECO DA LUCINDA,S/N,AEROPORTO VELHO
AC,RIO BRANCO,USF ANTENOR RAMOS I,AV AMADEO BARBOSA TRAV ANTONIETA,1,06 DE AGOSTO
AC,RIO BRANCO,USF DR RAIMUNDO MOREIRA,RUA JACO,176,FLORESTA SUL
AC,RIO BRANCO,USF MARIA VERONICA I,RUA RIO GRANDE DO SUL,1444,PREVENTORIO
AC,RIO BRANCO,USF BELO JARDIM I,RUA PRINCESINHA,391,BELO JARDIM I
AC,RIO BRANCO,O MUNDO AZUL,RUA EDMUNDO PINTO,S/N,TANGARA
AC,RIO BRANCO,USF ANA ROSA ZONA RURAL,RAMAL DO GURGEL,S/N,AMAPA
AC,RODRIGUES ALVES,UNIDADE BASICA NOEMI DO CARMO MATOS,COMUNIDADE FOZ DO PARANA,S/N,ZONA RURAL
AC,RODRIGUES ALVES,UNIDADE BASICA JOSINA DE OLIVEIRA MOURA,COMUNIDADE NOVA CINTRA,S/N,ZONA RURAL
AC,RODRIGUES ALVES,UNIDADE BASICA PADRE TEODORO ARNDS,AV GETULIO VARGAS,S/N,CENTRO
AC,RODRIGUES ALVES,UNIDADE MISTA DE SAUDE DO MUNICIPIO DE RODRIGUES ALVES,AVENIDA SAO JOSE,914,CENTRO
AC,RODRIGUES ALVES,UNIDADE BASICA EUTALIA PAULA OLIVEIRA,AVENIDA ULISSES GUIMARAES,S/N,SAO FRANCISCO
AC,SANTA ROSA DO PURUS,PSF MOVEL DE SANTA ROSA DO PURUS,RUA CORONEL JOSE FERREIRA,S/N,CENTRO
AC,SANTA ROSA DO PURUS,UNIDADE MISTA DE SANTA ROSA,RUA 28 DE ABRIL,S/N,CIDADE NOVA
AC,SANTA ROSA DO PURUS,CENTRO DE SAUDE PAULO ALCIONE MARQUES,RUA CORONEL JOSE FERREIRA,S/N,CENTRO
AC,SENADOR GUIOMARD,UNIDADE DE SAUDE PRISIONAL QUINARI,BR 317 KM 11,S/N,ZONA RURAL
AC,SENADOR GUIOMARD,POSTO DE SAUDE GLEBA F1 SANTA LUZIA,BR 364 KM 67,S/N,ZONA RURAL
AC,SENADOR GUIOMARD,POSTO DE SAUDE QUINAUA,BR 364 KM 22,S/N,ZONA RURAL
AC,SENADOR GUIOMARD,POSTO DE SAUDE RAMAL MULUNGU,RODOVIA AC KM 30,S/N,ZONA RURAL
AC,SENADOR GUIOMARD,UNIDADE S DA F FRANCISCO TAVEIRA,RUA JOSE DE BARROS,S/N,18 DE SETEMBRO
AC,SENADOR GUIOMARD,CENTRO DE SAUDE MARIA DO SOCORRO CAVALCANTE,PEDRO ALEIXO,S/N,CENTRO
AC,SENADOR GUIOMARD,UNIDADE BASICA DE SAUDE MANUEL LIMA DO NASCIMENTO,RODOVIA BR 317 RAMAL DA BONAL KM 04 PROJ SUSTENT,S/N,ZONA RURAL
AC,SENADOR GUIOMARD,UNIDADE SAUDE DA FAMILIA MARIA RAIMUNDA MENDONCA,BR 364 KM 32 RAMAL NOVA ALDEIA KM 1,S/N,ZONA RURAL
AC,SENADOR GUIOMARD,UNIDADE BASICA DE SAUDE PEDRO RABELO DE LIMA,RODOVIA BR 364 GLEBA R LOTE 01 RAMAL N JUNIOR,S/N,ZONA RURAL
AC,SENADOR GUIOMARD,UNIDADE BASICA DE SAUDE FRANCISCO LUIS DE FRANCA,RODOVIA BR 317 LOTE1 RAMAL DO PELE GLEBA S ARAUJO,S/N,ZONA RURAL
AC,SENADOR GUIOMARD,UNIDADE DE SAUDE DA FAMILIA MIGUEL SEVERINO DE OLIVEIRA,GERSON PEREIRA,3916,DEMOCRACIA
